nb_cycle_aller,moy_cycle_aller,propor_utilisa_aller,nb_trp
25,18,50.80409356725146,200
25,18,50.80409356725146,200
25,18,51.31578947368421,200
27,18,52.63157894736842,200
26,18,54.166666666666664,200
26,18,53.143274853801174,200
26,18,52.046783625730995,200
27,18,52.63157894736842,200
26,18,51.75438596491229,200
26,18,52.046783625730995,200
26,18,51.75438596491229,200
26,18,52.046783625730995,200
26,18,52.046783625730995,200
27,18,55.336257309941516,200
26,18,52.046783625730995,200
27,18,55.336257309941516,200
27,18,55.336257309941516,200
27,18,53.143274853801174,200
27,18,55.336257309941516,200
27,18,55.336257309941516,200
27,18,53.143274853801174,200
27,18,53.143274853801174,200
27,18,55.336257309941516,200
27,18,55.336257309941516,200
27,18,52.19298245614035,200
27,18,52.19298245614035,200
26,18,53.216374269005854,200
26,18,52.48538011695907,200
26,18,50.58479532163743,200
26,18,53.216374269005854,200
26,18,53.216374269005854,200
26,18,53.216374269005854,200
26,18,52.33918128654971,200
28,18,51.60818713450293,200
28,18,51.60818713450293,200
28,18,51.60818713450293,200
28,18,51.60818713450293,200
28,18,51.60818713450293,200
28,18,51.60818713450293,200
28,18,51.60818713450293,200
28,18,51.60818713450293,200
28,18,51.60818713450293,200
28,18,51.60818713450293,200
25,18,52.48538011695907,200
25,18,52.48538011695907,200
25,18,52.48538011695907,200
25,18,52.48538011695907,200
25,18,52.48538011695907,200
26,18,52.92397660818714,200
26,18,52.92397660818714,200
26,18,52.92397660818714,200
26,18,50.877192982456144,200
27,18,51.02339181286549,200
26,18,53.216374269005854,200
27,18,51.02339181286549,200
26,18,50.877192982456144,200
26,18,53.216374269005854,200
27,18,51.02339181286549,200
27,18,51.24269005847953,200
27,18,51.02339181286549,200
27,18,51.02339181286549,200
27,18,51.24269005847953,200
26,18,53.72807017543859,200
27,18,51.02339181286549,200
27,18,51.24269005847953,200
26,18,53.72807017543859,200
26,18,53.72807017543859,200
26,18,52.92397660818714,200
27,18,51.24269005847953,200
27,18,51.02339181286549,200
27,18,51.02339181286549,200
27,18,51.24269005847953,200
26,18,52.92397660818714,200
26,18,52.92397660818714,200
24,18,52.48538011695907,200
26,18,54.09356725146199,200
25,18,53.3625730994152,200
26,18,54.09356725146199,200
26,18,52.119883040935676,200
25,18,53.3625730994152,200
26,18,54.09356725146199,200
26,18,54.97076023391813,200
27,18,53.289473684210535,200
26,18,54.09356725146199,200
26,18,54.97076023391813,200
27,18,53.289473684210535,200
26,18,54.09356725146199,200
26,18,54.97076023391813,200
27,18,53.289473684210535,200
27,18,53.289473684210535,200
27,18,51.827485380116954,200
27,18,51.827485380116954,200
27,18,53.289473684210535,200
27,18,53.289473684210535,200
28,18,52.046783625730995,200
26,18,49.63450292397661,200
25,18,52.41228070175439,200
26,18,49.63450292397661,200
24,18,50.80409356725146,200
26,18,49.63450292397661,200
25,18,52.41228070175439,200
25,18,52.41228070175439,200
24,18,50.80409356725146,200
26,18,49.63450292397661,200
25,18,53.43567251461988,200
26,18,49.63450292397661,200
25,18,53.43567251461988,200
24,18,50.80409356725146,200
25,18,53.43567251461988,200
26,18,54.02046783625731,200
26,18,49.63450292397661,200
24,18,50.80409356725146,200
26,18,52.119883040935676,200
24,18,50.80409356725146,200
26,18,49.63450292397661,200
25,18,53.43567251461988,200
24,18,50.80409356725146,200
26,18,52.119883040935676,200
26,18,49.63450292397661,200
25,18,53.43567251461988,200
25,18,53.43567251461988,200
26,18,53.143274853801174,200
26,18,49.63450292397661,200
26,18,52.119883040935676,200
26,18,52.119883040935676,200
26,18,49.63450292397661,200
25,18,53.43567251461988,200
26,18,49.63450292397661,200
26,18,52.119883040935676,200
25,18,53.43567251461988,200
26,18,49.63450292397661,200
25,18,53.43567251461988,200
26,18,49.63450292397661,200
