grid_x,grid_y,nb_trp_inside,s_nb_trp_inside,impact_trp_retour
0,0,0,0,0.0
1,0,0,0,0.0
2,0,0,0,0.0
3,0,0,0,0.0
4,0,0,0,0.0
5,0,2,42,0.0
6,0,1,19,0.0
7,0,2,40,0.0
8,0,1,31,0.0
9,0,2,56,0.0
13,0,2,217,0.0049603146
28,8,1,176,0.0009033799
13,3,1,143,0.0009932742
13,0,5,109,0.0
14,0,0,0,0.0
15,0,3,33,0.0
16,0,1,31,0.0
17,0,1,22,0.0
18,0,0,0,0.0
19,0,0,0,0.0
20,0,0,0,0.0
21,0,0,0,0.0
22,0,0,0,0.0
23,0,0,0,0.0
24,0,0,0,0.0
25,0,0,0,0.0
26,0,0,0,0.0
27,0,0,0,0.0
28,0,0,0,0.0
29,0,0,0,0.0
30,0,0,0,0.0
31,0,0,0,0.0
32,0,0,0,0.0
33,0,0,0,0.0
34,0,0,0,0.0
35,0,0,0,0.0
0,1,0,0,0.0
1,1,0,0,0.0
2,1,0,0,0.0
3,1,0,0,0.0
4,1,0,0,0.0
13,3,1,178,0.0019450833
7,1,5,238,0.0019525602
7,1,4,56,0.0
12,0,1,167,0.0019619088
23,2,3,181,0.0009738028
17,4,1,134,0.0031136334
27,10,1,167,0.003112251
8,1,1,177,0.0011574344
6,0,3,218,0.001049014
9,2,2,217,0.0010143607
24,3,2,153,0.0031445909
9,0,3,203,0.0010653455
20,1,1,168,0.001053294
22,6,3,203,0.0010402973
19,1,1,21,0.0
20,1,2,32,0.0
21,1,1,20,0.0
22,1,0,0,0.0
23,1,0,0,0.0
24,1,0,0,0.0
25,1,0,0,0.0
26,1,0,0,0.0
27,1,0,0,0.0
28,1,0,0,0.0
29,1,0,0,0.0
30,1,0,0,0.0
31,1,0,0,0.0
32,1,0,0,0.0
33,1,0,0,0.0
34,1,0,0,0.0
35,1,0,0,0.0
0,2,0,0,0.0
1,2,0,0,0.0
2,2,0,0,0.0
3,2,0,0,0.0
4,2,1,32,0.0
24,9,1,151,0.0010331386
10,0,3,275,0.0010463016
24,6,1,158,0.0021872193
20,2,2,166,0.0010990772
16,2,2,193,0.0009335062
25,7,3,182,0.0019892181
11,2,1,17,0.0
12,1,1,168,0.0031666323
25,9,1,166,0.0011729821
14,2,1,38,0.0
24,4,2,202,0.0020542067
10,2,2,257,0.0009329029
17,3,1,258,0.0021158701
5,0,1,144,0.000942109
10,2,3,188,0.0021411796
22,2,1,170,0.0020067087
22,6,3,187,0.0042706878
18,1,2,178,0.0039944732
23,2,2,24,0.0
24,2,1,17,0.0
25,2,0,0,0.0
26,2,0,0,0.0
27,2,0,0,0.0
28,2,0,0,0.0
29,2,0,0,0.0
30,2,0,0,0.0
31,2,0,0,0.0
32,2,0,0,0.0
33,2,0,0,0.0
34,2,0,0,0.0
35,2,0,0,0.0
0,3,0,0,0.0
1,3,0,0,0.0
2,3,0,0,0.0
3,3,0,0,0.0
4,3,1,22,0.0
24,2,1,190,0.0009937635
20,1,3,217,0.0021519818
25,5,2,200,0.0010436035
29,8,1,93,0.0020521308
27,9,1,173,0.0020862616
30,11,1,210,0.0030323323
21,4,1,212,0.0009315016
11,1,2,180,0.0010250679
16,2,1,180,0.001023866
23,3,2,267,0.0019022975
15,3,1,47,0.0
16,3,1,6,0.0
14,2,1,167,0.0020164515
23,2,2,249,0.0020475753
28,8,2,161,0.0010304499
16,0,1,118,0.003158647
24,7,3,180,0.0021540006
24,7,4,197,0.0011092048
26,5,1,225,0.0031164218
24,3,2,67,0.0
25,3,1,27,0.0
26,3,0,0,0.0
27,3,0,0,0.0
28,3,0,0,0.0
29,3,0,0,0.0
30,3,0,0,0.0
31,3,0,0,0.0
32,3,0,0,0.0
33,3,0,0,0.0
34,3,0,0,0.0
35,3,0,0,0.0
0,4,0,0,0.0
1,4,0,0,0.0
2,4,0,0,0.0
3,4,0,0,0.0
4,4,1,4,0.0
5,4,1,8,0.0
6,4,2,12,0.0
7,4,1,15,0.0
8,4,1,8,0.0
9,4,1,18,0.0
10,4,1,23,0.0
11,4,1,11,0.0
12,4,1,53,0.0
13,4,1,32,0.0
14,4,1,11,0.0
15,4,1,15,0.0
16,4,1,5,0.0
17,4,1,49,0.0
18,4,1,10,0.0
7,1,6,225,0.003107382
21,6,1,173,0.0020639828
21,4,1,34,0.0
15,0,2,143,0.0010476127
23,4,1,7,0.0
24,4,2,52,0.0
7,0,5,221,0.0009620506
26,4,0,0,0.0
27,4,0,0,0.0
28,4,0,0,0.0
29,4,0,0,0.0
30,4,0,0,0.0
31,4,0,0,0.0
32,4,0,0,0.0
33,4,0,0,0.0
34,4,0,0,0.0
35,4,0,0,0.0
0,5,0,0,0.0
1,5,0,0,0.0
2,5,0,0,0.0
3,5,0,0,0.0
4,5,1,3,0.0
5,5,1,11,0.0
6,5,1,10,0.0
7,5,1,13,0.0
8,5,1,8,0.0
9,5,1,16,0.0
10,5,1,25,0.0
11,5,1,11,0.0
12,5,1,12,0.0
13,5,1,14,0.0
14,5,1,16,0.0
15,5,1,12,0.0
16,5,1,8,0.0
17,5,1,11,0.0
18,5,1,15,0.0
19,5,1,29,0.0
20,5,1,8,0.0
23,6,1,190,0.0021987388
7,1,5,196,0.0010671269
23,5,1,10,0.0
10,0,3,200,0.0021749304
27,12,1,111,0.0010500686
26,5,1,17,0.0
19,4,2,257,0.0009971552
28,5,1,21,0.0
29,5,0,0,0.0
30,5,0,0,0.0
31,5,0,0,0.0
32,5,0,0,0.0
33,5,0,0,0.0
34,5,0,0,0.0
35,5,0,0,0.0
0,6,0,0,0.0
1,6,0,0,0.0
2,6,0,0,0.0
3,6,0,0,0.0
4,6,1,2,0.0
5,6,1,10,0.0
6,6,1,14,0.0
7,6,1,11,0.0
8,6,1,10,0.0
9,6,1,18,0.0
10,6,1,25,0.0
11,6,1,18,0.0
12,6,1,10,0.0
13,6,1,16,0.0
14,6,1,10,0.0
15,6,1,6,0.0
16,6,1,11,0.0
17,6,1,13,0.0
18,6,1,21,0.0
19,6,1,13,0.0
20,6,1,12,0.0
15,2,2,132,0.000980686
12,0,2,171,0.0010381739
16,1,2,239,0.0010775585
24,6,2,37,0.0
29,11,1,152,0.0011286477
7,3,2,223,0.0009382232
27,6,1,22,0.0
19,3,3,194,0.0009830469
29,6,2,38,0.0
30,6,0,0,0.0
31,6,0,0,0.0
32,6,0,0,0.0
33,6,0,0,0.0
34,6,0,0,0.0
35,6,0,0,0.0
0,7,0,0,0.0
1,7,0,0,0.0
2,7,0,0,0.0
3,7,0,0,0.0
4,7,1,2,0.0
5,7,1,9,0.0
6,7,1,13,0.0
7,7,1,15,0.0
8,7,1,9,0.0
9,7,1,20,0.0
10,7,2,25,0.0
11,7,1,20,0.0
12,7,1,13,0.0
13,7,1,17,0.0
14,7,1,13,0.0
15,7,1,2,0.0
16,7,1,16,0.0
17,7,1,16,0.0
18,7,1,17,0.0
19,7,1,12,0.0
20,7,1,13,0.0
21,7,1,16,0.0
22,7,1,41,0.0
24,3,4,181,0.0010961036
19,3,3,173,0.0009968084
14,3,2,187,0.0009943478
8,3,1,177,0.0010010124
19,5,2,190,0.0019379388
20,3,2,178,0.0011275884
8,1,4,262,0.0021656721
13,0,3,238,0.0021710019
31,7,0,0,0.0
32,7,0,0,0.0
33,7,0,0,0.0
34,7,0,0,0.0
35,7,0,0,0.0
0,8,0,0,0.0
1,8,0,0,0.0
2,8,0,0,0.0
3,8,0,0,0.0
4,8,1,3,0.0
5,8,1,10,0.0
6,8,1,14,0.0
7,8,1,16,0.0
8,8,1,11,0.0
9,8,1,18,0.0
10,8,1,21,0.0
11,8,2,23,0.0
12,8,1,15,0.0
13,8,1,12,0.0
14,8,1,7,0.0
15,8,1,9,0.0
16,8,1,20,0.0
17,8,1,13,0.0
18,8,1,20,0.0
19,8,1,12,0.0
20,8,2,19,0.0
21,8,1,16,0.0
22,8,1,7,0.0
23,8,1,12,0.0
15,0,2,191,0.0019384186
15,0,3,194,0.0011064449
26,8,1,39,0.0
7,0,2,164,0.0010039814
9,2,2,187,0.0009887805
20,3,1,220,0.0009034464
21,3,2,173,0.0011330417
31,8,0,0,0.0
32,8,0,0,0.0
33,8,0,0,0.0
34,8,0,0,0.0
35,8,0,0,0.0
0,9,0,0,0.0
1,9,0,0,0.0
2,9,0,0,0.0
3,9,0,0,0.0
4,9,1,4,0.0
5,9,2,11,0.0
6,9,1,12,0.0
7,9,1,13,0.0
8,9,1,15,0.0
9,9,1,19,0.0
10,9,1,25,0.0
11,9,2,20,0.0
12,9,1,18,0.0
13,9,1,8,0.0
14,9,1,5,0.0
15,9,1,16,0.0
16,9,1,19,0.0
17,9,1,15,0.0
18,9,1,15,0.0
19,9,1,17,0.0
20,9,1,15,0.0
21,9,1,15,0.0
22,9,1,8,0.0
23,9,1,13,0.0
24,9,1,33,0.0
25,9,1,38,0.0
10,0,4,227,0.0010575645
9,0,2,169,0.0021804454
28,9,1,7,0.0
21,5,2,169,0.0009776648
16,1,1,173,0.0009594617
31,9,0,0,0.0
32,9,0,0,0.0
33,9,0,0,0.0
34,9,0,0,0.0
