nb_cycle_retour,moy_cycle_retour,d_eau,propor_utilisa_retour
49,22,20.0,42.54385964912281
49,22,20.0,42.54385964912281
49,22,20.0,42.54385964912281
50,22,20.0,42.54385964912281
50,22,20.0,42.54385964912281
50,22,20.0,42.54385964912281
50,22,20.0,42.54385964912281
51,22,20.0,42.54385964912281
51,22,20.0,42.54385964912281
51,22,20.0,42.54385964912281
51,22,20.0,42.54385964912281
52,22,20.0,42.54385964912281
52,22,20.0,42.54385964912281
52,22,20.0,42.54385964912281
46,22,20.0,42.61695906432749
46,22,20.0,42.61695906432749
47,22,20.0,42.61695906432749
47,23,20.0,42.76315789473684
48,23,20.0,42.76315789473684
48,23,20.0,42.76315789473684
48,23,20.0,42.76315789473684
48,23,20.0,42.76315789473684
49,23,20.0,42.76315789473684
52,24,20.0,42.76315789473684
49,23,20.0,42.76315789473684
52,24,20.0,42.76315789473684
49,23,20.0,42.76315789473684
52,24,20.0,42.76315789473684
49,23,20.0,42.76315789473684
52,24,20.0,42.76315789473684
50,23,20.0,42.76315789473684
53,24,20.0,42.76315789473684
50,23,20.0,42.76315789473684
53,24,20.0,42.76315789473684
50,23,20.0,42.76315789473684
53,24,20.0,42.76315789473684
50,23,20.0,42.76315789473684
51,23,20.0,42.76315789473684
51,23,20.0,42.76315789473684
51,23,20.0,42.76315789473684
52,21,20.0,57.30994152046783
51,23,20.0,42.76315789473684
52,21,20.0,57.30994152046783
53,21,20.0,57.30994152046783
52,23,20.0,42.76315789473684
53,21,20.0,57.30994152046783
52,23,20.0,42.76315789473684
53,21,20.0,57.30994152046783
52,23,20.0,42.76315789473684
53,21,20.0,57.30994152046783
52,23,20.0,42.76315789473684
54,21,20.0,57.30994152046783
53,23,20.0,42.76315789473684
54,21,20.0,57.30994152046783
53,23,20.0,42.76315789473684
54,21,20.0,57.30994152046783
53,23,20.0,42.76315789473684
53,23,20.0,42.76315789473684
54,21,20.0,57.30994152046783
49,22,20.0,41.812865497076025
54,23,20.0,42.76315789473684
54,23,20.0,42.76315789473684
49,22,20.0,41.812865497076025
49,22,20.0,41.812865497076025
54,23,20.0,42.76315789473684
49,22,20.0,41.812865497076025
54,23,20.0,42.76315789473684
50,22,20.0,41.812865497076025
55,23,20.0,42.76315789473684
55,23,20.0,42.76315789473684
50,22,20.0,41.812865497076025
50,22,20.0,41.812865497076025
55,23,20.0,42.76315789473684
55,23,20.0,42.76315789473684
50,22,20.0,41.812865497076025
51,22,20.0,41.812865497076025
56,23,20.0,42.76315789473684
51,22,20.0,41.812865497076025
56,23,20.0,42.76315789473684
56,23,20.0,42.76315789473684
51,22,20.0,41.812865497076025
56,23,20.0,42.76315789473684
51,22,20.0,41.812865497076025
52,22,20.0,41.812865497076025
57,23,20.0,42.76315789473684
57,23,20.0,42.76315789473684
52,22,20.0,41.812865497076025
57,23,20.0,42.76315789473684
52,22,20.0,41.812865497076025
52,22,20.0,41.812865497076025
57,23,20.0,42.76315789473684
53,22,20.0,41.812865497076025
58,23,20.0,42.76315789473684
53,22,20.0,41.812865497076025
58,23,20.0,42.76315789473684
53,21,20.0,42.251461988304094
58,23,20.0,42.76315789473684
53,21,20.0,42.251461988304094
53,22,20.0,41.812865497076025
53,22,20.0,41.812865497076025
58,23,20.0,42.76315789473684
53,21,20.0,42.251461988304094
54,22,20.0,41.812865497076025
54,21,20.0,42.251461988304094
54,22,20.0,41.812865497076025
54,22,20.0,41.812865497076025
54,22,20.0,41.812865497076025
55,22,20.0,41.812865497076025
55,22,20.0,41.812865497076025
55,22,20.0,41.812865497076025
55,22,20.0,41.812865497076025
55,20,20.0,45.39473684210527
55,20,20.0,45.39473684210527
49,22,20.0,42.83625730994152
55,20,20.0,45.39473684210527
56,20,20.0,45.39473684210527
50,22,20.0,42.83625730994152
56,20,20.0,45.39473684210527
56,20,20.0,45.39473684210527
56,20,20.0,45.39473684210527
57,20,20.0,45.39473684210527
59,21,20.0,42.909356725146196
57,20,20.0,45.39473684210527
59,21,20.0,42.909356725146196
59,21,20.0,42.909356725146196
59,21,20.0,42.909356725146196
60,21,20.0,42.909356725146196
60,21,20.0,42.909356725146196
60,21,20.0,42.909356725146196
60,21,20.0,42.909356725146196
61,21,20.0,42.909356725146196
61,21,20.0,42.909356725146196
61,21,20.0,42.909356725146196
61,21,20.0,42.909356725146196
62,21,20.0,42.909356725146196
62,21,20.0,42.909356725146196
62,21,20.0,42.909356725146196
62,21,20.0,42.909356725146196
63,21,20.0,42.909356725146196
63,21,20.0,42.909356725146196
63,21,20.0,42.909356725146196
62,23,20.0,45.614035087719294
62,23,20.0,45.614035087719294
62,23,20.0,45.614035087719294
62,23,20.0,45.614035087719294
63,23,20.0,45.614035087719294
63,23,20.0,45.614035087719294
63,23,20.0,45.614035087719294
63,23,20.0,45.614035087719294
64,23,20.0,45.614035087719294
64,23,20.0,45.614035087719294
64,23,20.0,45.614035087719294
0,0,20.0,55.336257309941516
46,22,20.0,55.336257309941516
46,22,20.0,55.336257309941516
46,22,20.0,55.336257309941516
46,22,20.0,55.336257309941516
47,22,20.0,55.336257309941516
47,22,20.0,55.336257309941516
47,22,20.0,55.336257309941516
47,22,20.0,55.336257309941516
48,22,20.0,55.336257309941516
48,22,20.0,55.336257309941516
48,22,20.0,55.336257309941516
