grid_x,grid_y,nb_trp_inside,s_nb_trp_inside,impact_trp_retour
0,10,0,0,0.0
1,10,0,0,0.0
2,10,0,0,0.0
3,10,0,0,0.0
4,10,1,5,0.0
5,10,1,5,0.0
6,10,1,8,0.0
7,10,1,12,0.0
8,10,1,14,0.0
9,10,1,16,0.0
10,10,1,10,0.0
11,10,1,9,0.0
12,10,2,5,0.0
13,10,1,11,0.0
14,10,1,16,0.0
15,10,1,11,0.0
16,10,1,20,0.0
17,10,1,10,0.0
18,10,1,18,0.0
19,10,1,31,0.0
20,10,2,29,0.0
21,10,3,8,0.0
22,10,1,23,0.0
23,10,1,20,0.0
24,10,1,20,0.0
25,10,1,18,0.0
26,10,1,13,0.0
20,6,2,82,22.0170545298
22,2,3,62,7.9924181105
15,3,2,69,7.819556104
15,3,2,69,7.0133654049
31,10,4,91,7.4988151764
32,10,0,0,0.0
33,10,0,0,0.0
34,10,0,0,0.0
35,10,0,0,0.0
0,11,0,0,0.0
1,11,0,0,0.0
2,11,0,0,0.0
3,11,0,0,0.0
4,11,1,4,0.0
5,11,1,5,0.0
6,11,1,9,0.0
7,11,2,13,0.0
8,11,1,22,0.0
9,11,1,16,0.0
10,11,1,10,0.0
11,11,1,7,0.0
12,11,1,7,0.0
13,11,1,13,0.0
14,11,1,15,0.0
15,11,2,18,0.0
16,11,1,17,0.0
17,11,1,14,0.0
18,11,1,30,0.0
19,11,1,32,0.0
20,11,3,17,0.0
21,11,1,20,0.0
22,11,1,22,0.0
23,11,1,19,0.0
24,11,1,17,0.0
25,11,1,13,0.0
26,11,2,16,0.0
27,11,1,57,0.0
29,7,2,45,6.8293956494
22,7,5,182,14.0629338435
31,9,2,57,7.1664429021
31,11,2,19,0.0
32,11,0,0,0.0
33,11,0,0,0.0
34,11,0,0,0.0
35,11,0,0,0.0
0,12,0,0,0.0
1,12,0,0,0.0
2,12,0,0,0.0
3,12,0,0,0.0
4,12,1,4,0.0
5,12,1,6,0.0
6,12,1,8,0.0
7,12,1,13,0.0
8,12,1,19,0.0
9,12,1,14,0.0
10,12,1,12,0.0
11,12,1,4,0.0
12,12,1,11,0.0
13,12,1,17,0.0
14,12,1,9,0.0
15,12,2,30,0.0
16,12,1,13,0.0
17,12,1,23,0.0
18,12,1,27,0.0
19,12,2,27,0.0
20,12,1,20,0.0
21,12,1,25,0.0
22,12,1,20,0.0
23,12,1,19,0.0
24,12,1,14,0.0
25,12,2,16,0.0
26,12,1,18,0.0
27,12,3,113,0.0
28,12,1,16,0.0
22,3,5,129,7.3959282487
30,12,1,4,0.0
31,12,2,40,0.0
32,12,0,0,0.0
33,12,0,0,0.0
34,12,0,0,0.0
35,12,0,0,0.0
0,13,0,0,0.0
1,13,0,0,0.0
2,13,0,0,0.0
3,13,0,0,0.0
4,13,1,5,0.0
5,13,1,8,0.0
6,13,1,6,0.0
7,13,1,15,0.0
8,13,1,22,0.0
9,13,1,11,0.0
10,13,1,14,0.0
11,13,1,5,0.0
12,13,1,16,0.0
13,13,1,11,0.0
14,13,3,15,0.0
15,13,1,24,0.0
16,13,1,12,0.0
17,13,1,34,0.0
18,13,1,32,0.0
19,13,1,24,0.0
20,13,1,25,0.0
21,13,1,21,0.0
22,13,1,20,0.0
23,13,1,14,0.0
24,13,1,16,0.0
25,13,1,20,0.0
26,13,1,27,0.0
27,13,1,42,0.0
28,13,1,62,0.0
29,13,1,30,0.0
30,13,2,4,0.0
31,13,1,2,0.0
32,13,0,0,0.0
33,13,0,0,0.0
34,13,0,0,0.0
35,13,0,0,0.0
0,14,0,0,0.0
1,14,0,0,0.0
2,14,0,0,0.0
3,14,0,0,0.0
4,14,1,3,0.0
5,14,2,7,0.0
6,14,1,8,0.0
7,14,1,17,0.0
8,14,1,26,0.0
9,14,1,7,0.0
10,14,1,10,0.0
11,14,1,10,0.0
12,14,1,17,0.0
13,14,1,13,0.0
14,14,1,28,0.0
15,14,1,16,0.0
16,14,1,28,0.0
17,14,1,28,0.0
18,14,1,35,0.0
19,14,1,23,0.0
20,14,1,21,0.0
21,14,1,22,0.0
22,14,1,10,0.0
23,14,1,20,0.0
24,14,1,23,0.0
25,14,1,27,0.0
26,14,1,25,0.0
27,14,1,18,0.0
28,14,2,4,0.0
29,14,1,2,0.0
30,14,1,3,0.0
