nb_cycle_aller,moy_cycle_aller,d_eau,propor_utilisa_aller
65,30,20.0,48.53801169590643
65,30,20.0,48.53801169590643
65,30,20.0,48.53801169590643
65,30,20.0,48.53801169590643
65,30,20.0,48.53801169590643
65,30,20.0,48.53801169590643
65,30,20.0,48.53801169590643
65,30,20.0,48.53801169590643
65,30,20.0,48.53801169590643
65,30,20.0,48.53801169590643
65,30,20.0,48.53801169590643
65,30,20.0,48.53801169590643
65,30,20.0,48.53801169590643
65,30,20.0,48.53801169590643
61,30,20.0,46.783625730994146
61,30,20.0,46.783625730994146
61,30,20.0,46.783625730994146
61,30,20.0,46.783625730994146
61,30,20.0,46.783625730994146
61,30,20.0,46.783625730994146
61,30,20.0,46.783625730994146
61,30,20.0,46.783625730994146
61,30,20.0,46.783625730994146
58,30,20.0,48.9766081871345
61,30,20.0,46.783625730994146
58,30,20.0,48.9766081871345
61,30,20.0,46.783625730994146
58,30,20.0,48.9766081871345
61,30,20.0,46.783625730994146
58,30,20.0,48.9766081871345
61,30,20.0,46.783625730994146
58,30,20.0,48.9766081871345
61,30,20.0,46.783625730994146
58,30,20.0,48.9766081871345
61,30,20.0,46.783625730994146
58,30,20.0,48.9766081871345
61,30,20.0,46.783625730994146
61,30,20.0,46.783625730994146
61,30,20.0,46.783625730994146
60,30,20.0,47.514619883040936
61,30,20.0,46.783625730994146
61,30,20.0,46.783625730994146
60,30,20.0,47.514619883040936
61,30,20.0,46.783625730994146
60,30,20.0,47.514619883040936
61,30,20.0,46.783625730994146
60,30,20.0,47.514619883040936
60,30,20.0,47.514619883040936
61,30,20.0,46.783625730994146
60,30,20.0,47.514619883040936
61,30,20.0,46.783625730994146
60,30,20.0,47.514619883040936
61,30,20.0,46.783625730994146
60,30,20.0,47.514619883040936
61,30,20.0,46.783625730994146
61,30,20.0,46.783625730994146
60,30,20.0,47.514619883040936
61,30,20.0,46.783625730994146
60,30,20.0,47.514619883040936
66,31,20.0,48.099415204678365
61,30,20.0,46.783625730994146
66,31,20.0,48.099415204678365
61,30,20.0,46.783625730994146
61,30,20.0,46.783625730994146
66,31,20.0,48.099415204678365
66,31,20.0,48.099415204678365
61,30,20.0,46.783625730994146
66,31,20.0,48.099415204678365
61,30,20.0,46.783625730994146
61,30,20.0,46.783625730994146
66,31,20.0,48.099415204678365
66,31,20.0,48.099415204678365
61,30,20.0,46.783625730994146
61,30,20.0,46.783625730994146
66,31,20.0,48.099415204678365
66,31,20.0,48.099415204678365
61,30,20.0,46.783625730994146
66,31,20.0,48.099415204678365
61,30,20.0,46.783625730994146
66,31,20.0,48.099415204678365
61,30,20.0,46.783625730994146
61,30,20.0,46.783625730994146
66,31,20.0,48.099415204678365
66,31,20.0,48.099415204678365
61,30,20.0,46.783625730994146
61,30,20.0,46.783625730994146
66,31,20.0,48.099415204678365
61,30,20.0,46.783625730994146
66,31,20.0,48.099415204678365
66,31,20.0,48.099415204678365
61,30,20.0,46.783625730994146
66,31,20.0,48.099415204678365
61,30,20.0,46.783625730994146
66,31,20.0,47.368421052631575
66,31,20.0,48.099415204678365
61,30,20.0,46.783625730994146
61,30,20.0,46.783625730994146
66,31,20.0,48.099415204678365
66,31,20.0,47.368421052631575
66,31,20.0,48.099415204678365
61,30,20.0,46.783625730994146
66,31,20.0,47.368421052631575
66,31,20.0,48.099415204678365
66,31,20.0,47.368421052631575
66,31,20.0,48.099415204678365
66,31,20.0,48.099415204678365
66,31,20.0,48.099415204678365
66,31,20.0,48.099415204678365
66,31,20.0,48.099415204678365
66,31,20.0,48.099415204678365
66,31,20.0,48.099415204678365
71,30,20.0,44.66374269005848
71,30,20.0,44.66374269005848
77,31,20.0,48.46491228070175
71,30,20.0,44.66374269005848
71,30,20.0,44.66374269005848
77,31,20.0,48.46491228070175
71,30,20.0,44.66374269005848
71,30,20.0,44.66374269005848
71,30,20.0,44.66374269005848
