grid_x,grid_y,nb_trp_inside,s_nb_trp_inside,impact_trp_aller
0,0,0,0,0.0
1,0,0,0,0.0
2,0,0,0,0.0
3,0,0,0,0.0
4,0,0,0,0.0
5,0,0,0,0.0
6,0,0,0,0.0
7,0,1,5,0.0
8,0,1,7,0.0
9,0,1,10,0.0
4,33,3,1099,0.0001068062
9,27,1,430,0.0000382467
3,29,6,437,0.0000775877
13,0,2,2,0.0
14,0,0,0,0.0
15,0,0,0,0.0
16,0,0,0,0.0
17,0,1,2,0.0
18,0,1,1,0.0
19,0,0,0,0.0
20,0,0,0,0.0
21,0,0,0,0.0
22,0,0,0,0.0
23,0,0,0,0.0
24,0,0,0,0.0
25,0,0,0,0.0
26,0,0,0,0.0
27,0,0,0,0.0
28,0,0,0,0.0
29,0,0,0,0.0
30,0,0,0,0.0
31,0,0,0,0.0
32,0,0,0,0.0
33,0,0,0,0.0
34,0,0,0,0.0
35,0,0,0,0.0
0,1,0,0,0.0
1,1,0,0,0.0
2,1,0,0,0.0
3,1,0,0,0.0
4,1,1,3,0.0
10,29,3,557,0.0000362091
7,31,3,796,0.0000743047
4,34,3,853,0.0000331225
9,32,3,419,0.0000357267
7,33,4,848,0.0001057666
10,1,1,13,0.0
5,26,1,403,0.0000375901
4,31,2,409,0.0000750376
3,31,1,305,0.000035292
4,34,5,598,0.000109177
6,33,4,548,0.0000742029
16,1,1,1,0.0
8,32,3,664,0.000077733
6,27,6,687,0.0000335411
19,1,1,3,0.0
20,1,1,5,0.0
21,1,1,3,0.0
22,1,1,1,0.0
23,1,0,0,0.0
24,1,0,0,0.0
25,1,0,0,0.0
26,1,0,0,0.0
27,1,0,0,0.0
28,1,0,0,0.0
29,1,0,0,0.0
30,1,0,0,0.0
31,1,0,0,0.0
32,1,0,0,0.0
33,1,0,0,0.0
34,1,0,0,0.0
35,1,0,0,0.0
0,2,0,0,0.0
1,2,0,0,0.0
2,2,0,0,0.0
3,2,0,0,0.0
4,2,1,4,0.0
11,29,4,538,0.0000364411
5,28,2,460,0.0000346354
8,33,3,833,0.0000718799
8,2,1,18,0.0
5,31,3,1050,0.0000384656
8,27,1,278,0.000116898
11,2,1,14,0.0
6,28,3,462,0.0000380278
13,2,1,22,0.0
2,34,1,458,0.0001413322
6,30,2,471,0.0000331581
9,32,2,599,0.0001063685
4,34,5,796,0.000105493
11,31,1,267,0.0000380005
3,35,2,298,0.0000369809
2,32,1,427,0.0000360033
3,29,4,370,0.0000673558
9,33,3,553,0.0000398532
23,2,2,2,0.0
24,2,1,1,0.0
25,2,0,0,0.0
26,2,0,0,0.0
27,2,0,0,0.0
28,2,0,0,0.0
29,2,0,0,0.0
30,2,0,0,0.0
31,2,0,0,0.0
32,2,0,0,0.0
33,2,0,0,0.0
34,2,0,0,0.0
35,2,0,0,0.0
0,3,0,0,0.0
1,3,0,0,0.0
2,3,0,0,0.0
3,3,0,0,0.0
4,3,0,0,0.0
6,28,3,711,0.0001470227
5,29,2,854,0.0000739397
7,3,1,23,0.0
11,29,5,1112,0.0000742236
5,32,2,961,0.0000366599
10,3,1,24,0.0
2,29,2,378,0.0000349637
5,28,4,629,0.000073867
6,31,2,441,0.0002489428
2,35,3,387,0.0000394505
15,3,1,31,0.0
16,3,2,40,0.0
6,30,4,599,0.0000738314
7,32,2,667,0.0000694192
3,31,1,503,0.0000360033
8,32,1,372,0.0000718425
6,29,2,877,0.000034526
6,30,3,458,0.0000346354
2,32,3,771,0.0000664803
24,3,1,8,0.0
25,3,0,0,0.0
26,3,0,0,0.0
27,3,0,0,0.0
28,3,0,0,0.0
29,3,0,0,0.0
30,3,0,0,0.0
31,3,0,0,0.0
32,3,0,0,0.0
33,3,0,0,0.0
34,3,0,0,0.0
35,3,0,0,0.0
0,4,0,0,0.0
1,4,0,0,0.0
2,4,0,0,0.0
3,4,0,0,0.0
4,4,0,0,0.0
5,4,0,0,0.0
6,4,0,0,0.0
7,4,1,3,0.0
8,4,1,9,0.0
9,4,1,9,0.0
10,4,1,24,0.0
11,4,1,37,0.0
12,4,1,37,0.0
13,4,1,32,0.0
14,4,1,38,0.0
15,4,1,43,0.0
16,4,1,37,0.0
17,4,1,41,0.0
18,4,1,41,0.0
9,29,4,985,0.0000696855
1,34,2,914,0.0000355547
11,30,3,334,0.0000347996
22,4,1,13,0.0
2,35,4,570,0.0000337052
0,31,1,763,0.0000335745
1,35,2,483,0.0000376995
26,4,1,2,0.0
27,4,0,0,0.0
28,4,0,0,0.0
29,4,0,0,0.0
30,4,0,0,0.0
31,4,0,0,0.0
32,4,0,0,0.0
33,4,0,0,0.0
34,4,0,0,0.0
35,4,0,0,0.0
0,5,0,0,0.0
1,5,0,0,0.0
2,5,0,0,0.0
3,5,0,0,0.0
4,5,0,0,0.0
5,5,0,0,0.0
6,5,0,0,0.0
7,5,1,5,0.0
8,5,0,0,0.0
9,5,1,3,0.0
10,5,1,5,0.0
11,5,2,5,0.0
12,5,2,14,0.0
13,5,1,22,0.0
14,5,1,24,0.0
15,5,1,14,0.0
16,5,1,21,0.0
17,5,1,37,0.0
18,5,1,49,0.0
19,5,1,44,0.0
9,31,3,752,0.00007405
6,31,4,532,0.000038219
5,30,3,761,0.0000761104
23,5,1,19,0.0
4,27,1,677,0.0000388486
7,29,3,675,0.0000365505
7,34,3,374,0.0000378236
5,34,1,210,0.0000331034
28,5,1,1,0.0
29,5,0,0,0.0
30,5,0,0,0.0
31,5,0,0,0.0
32,5,0,0,0.0
33,5,0,0,0.0
34,5,0,0,0.0
35,5,0,0,0.0
0,6,0,0,0.0
1,6,0,0,0.0
2,6,0,0,0.0
3,6,0,0,0.0
4,6,0,0,0.0
5,6,0,0,0.0
6,6,1,2,0.0
7,6,1,3,0.0
8,6,0,0,0.0
9,6,0,0,0.0
10,6,0,0,0.0
11,6,1,2,0.0
12,6,1,5,0.0
13,6,1,3,0.0
14,6,2,10,0.0
15,6,1,26,0.0
16,6,1,22,0.0
17,6,1,17,0.0
18,6,1,32,0.0
19,6,1,34,0.0
20,6,1,52,0.0
21,6,2,44,0.0
7,28,1,417,0.0000389033
5,30,4,596,0.0000720067
10,31,2,618,0.0000353467
9,30,3,558,0.0000774236
1,34,2,365,0.0000368788
9,28,2,555,0.0000689112
6,27,5,607,0.0000384656
29,6,1,9,0.0
30,6,1,2,0.0
31,6,0,0,0.0
32,6,0,0,0.0
33,6,0,0,0.0
34,6,0,0,0.0
35,6,0,0,0.0
0,7,0,0,0.0
1,7,0,0,0.0
2,7,0,0,0.0
3,7,0,0,0.0
4,7,0,0,0.0
5,7,0,0,0.0
6,7,1,1,0.0
7,7,1,6,0.0
8,7,1,2,0.0
9,7,1,2,0.0
10,7,0,0,0.0
11,7,0,0,0.0
12,7,2,3,0.0
13,7,1,3,0.0
14,7,1,2,0.0
15,7,1,5,0.0
16,7,1,27,0.0
17,7,2,22,0.0
18,7,1,15,0.0
19,7,1,37,0.0
20,7,1,27,0.0
21,7,1,43,0.0
22,7,1,56,0.0
23,7,1,58,0.0
8,29,4,511,0.000038092
0,33,1,641,0.000037798
0,32,2,390,0.0000370429
7,31,2,536,0.0000728274
12,28,1,492,0.000035675
3,33,1,307,0.000071993
6,27,5,688,0.0000390674
31,7,0,0,0.0
32,7,0,0,0.0
33,7,0,0,0.0
34,7,0,0,0.0
35,7,0,0,0.0
0,8,0,0,0.0
1,8,0,0,0.0
2,8,0,0,0.0
3,8,0,0,0.0
4,8,0,0,0.0
5,8,0,0,0.0
6,8,0,0,0.0
7,8,1,3,0.0
8,8,0,0,0.0
9,8,1,1,0.0
10,8,1,2,0.0
11,8,1,4,0.0
12,8,1,3,0.0
13,8,0,0,0.0
14,8,1,2,0.0
15,8,2,7,0.0
16,8,1,6,0.0
17,8,1,23,0.0
18,8,1,23,0.0
19,8,1,15,0.0
20,8,3,47,0.0
21,8,1,53,0.0
22,8,1,66,0.0
23,8,1,90,0.0
9,30,4,590,0.0000664803
5,31,5,716,0.0000384108
26,8,1,21,0.0
11,28,1,433,0.0000730463
8,29,3,586,0.0000362198
12,30,2,453,0.0000791745
8,29,1,469,0.0000364958
31,8,1,3,0.0
32,8,0,0,0.0
33,8,0,0,0.0
34,8,0,0,0.0
35,8,0,0,0.0
0,9,0,0,0.0
1,9,0,0,0.0
2,9,0,0,0.0
3,9,0,0,0.0
4,9,0,0,0.0
5,9,0,0,0.0
6,9,0,0,0.0
7,9,1,2,0.0
8,9,0,0,0.0
9,9,0,0,0.0
10,9,0,0,0.0
11,9,1,2,0.0
12,9,1,2,0.0
13,9,1,2,0.0
14,9,0,0,0.0
15,9,2,8,0.0
16,9,0,0,0.0
17,9,1,8,0.0
18,9,1,28,0.0
19,9,1,21,0.0
20,9,1,33,0.0
21,9,1,68,0.0
22,9,1,77,0.0
23,9,1,120,0.0
24,9,1,38,0.0
25,9,1,55,0.0
2,33,1,540,0.0000357462
0,31,2,453,0.0000352373
3,29,6,614,0.0000383406
29,9,1,10,0.0
6,30,3,624,0.0000365262
1,31,2,615,0.000103961
32,9,0,0,0.0
33,9,0,0,0.0
34,9,0,0,0.0
