nb_cycle_retour,moy_cycle_retour,d_eau,propor_utilisa_retour
49,23,20.0,44.88304093567251
49,23,20.0,44.88304093567251
53,25,20.0,45.614035087719294
53,25,20.0,48.3187134502924
54,25,20.0,48.3187134502924
52,25,20.0,45.760233918128655
54,25,20.0,48.3187134502924
54,25,20.0,48.3187134502924
52,25,20.0,45.760233918128655
54,25,20.0,48.3187134502924
52,25,20.0,45.760233918128655
53,25,20.0,45.760233918128655
55,25,20.0,48.3187134502924
53,25,20.0,46.345029239766085
53,25,20.0,46.345029239766085
53,25,20.0,46.345029239766085
53,25,20.0,46.345029239766085
54,25,20.0,46.345029239766085
54,25,20.0,46.345029239766085
54,25,20.0,46.345029239766085
51,25,20.0,45.687134502923975
52,25,20.0,45.687134502923975
52,25,20.0,45.687134502923975
52,25,20.0,45.687134502923975
52,25,20.0,45.687134502923975
53,25,20.0,45.687134502923975
53,25,20.0,45.687134502923975
55,24,20.0,46.12573099415205
53,25,20.0,45.687134502923975
55,24,20.0,46.12573099415205
53,25,20.0,45.687134502923975
55,24,20.0,46.12573099415205
54,25,20.0,45.687134502923975
54,25,20.0,45.687134502923975
54,25,20.0,45.687134502923975
54,25,20.0,45.687134502923975
55,25,20.0,45.687134502923975
55,25,20.0,45.687134502923975
58,26,20.0,47.22222222222222
58,26,20.0,47.22222222222222
58,26,20.0,47.22222222222222
58,26,20.0,47.22222222222222
59,26,20.0,47.22222222222222
59,26,20.0,47.22222222222222
61,26,20.0,46.05263157894737
61,26,20.0,46.05263157894737
62,26,20.0,46.05263157894737
62,26,20.0,46.05263157894737
62,26,20.0,46.05263157894737
62,26,20.0,46.05263157894737
65,26,20.0,47.441520467836256
65,26,20.0,47.441520467836256
65,26,20.0,47.441520467836256
66,26,20.0,47.441520467836256
66,26,20.0,47.441520467836256
66,26,20.0,47.441520467836256
66,26,20.0,47.441520467836256
67,26,20.0,47.441520467836256
67,26,20.0,47.441520467836256
67,26,20.0,47.441520467836256
67,26,20.0,47.441520467836256
68,26,20.0,47.441520467836256
68,26,20.0,47.441520467836256
51,24,20.0,45.17543859649123
51,24,20.0,45.17543859649123
52,24,20.0,45.17543859649123
52,24,20.0,45.17543859649123
48,23,20.0,46.198830409356724
48,23,20.0,46.271929824561404
48,23,20.0,46.271929824561404
49,23,20.0,46.271929824561404
49,23,20.0,46.271929824561404
49,23,20.0,46.271929824561404
49,23,20.0,46.271929824561404
56,25,20.0,46.783625730994146
50,23,20.0,46.271929824561404
50,23,20.0,46.271929824561404
56,25,20.0,46.783625730994146
50,23,20.0,46.271929824561404
56,25,20.0,46.783625730994146
56,25,20.0,46.783625730994146
50,23,20.0,46.271929824561404
51,23,20.0,46.271929824561404
57,25,20.0,46.783625730994146
51,23,20.0,46.271929824561404
57,25,20.0,46.783625730994146
51,23,20.0,46.271929824561404
57,25,20.0,46.783625730994146
57,25,20.0,46.783625730994146
51,23,20.0,46.271929824561404
58,25,20.0,46.783625730994146
58,25,20.0,46.783625730994146
58,25,20.0,46.783625730994146
58,25,20.0,46.783625730994146
59,25,20.0,46.783625730994146
59,25,20.0,46.783625730994146
59,25,20.0,46.783625730994146
59,25,20.0,46.783625730994146
60,25,20.0,46.856725146198826
60,25,20.0,46.856725146198826
60,25,20.0,46.856725146198826
60,25,20.0,46.856725146198826
53,25,20.0,47.953216374269005
61,25,20.0,46.856725146198826
54,25,20.0,47.953216374269005
61,25,20.0,46.856725146198826
