nb_cycle_retour,moy_cycle_retour,d_res_soc,jour_res_soc,nbr_elmt_res_soc,propor_utilisa_retour
38,20,75.0,2,5,81.43274853801171
38,20,75.0,2,5,81.43274853801171
36,20,75.0,6,5,81.50584795321637
37,20,75.0,4,5,81.43274853801171
38,20,75.0,2,5,81.43274853801171
37,20,75.0,4,5,81.43274853801171
38,20,75.0,4,5,81.43274853801171
38,20,75.0,4,5,81.43274853801171
38,20,75.0,4,5,81.43274853801171
38,20,75.0,4,5,81.43274853801171
39,20,75.0,4,5,81.43274853801171
39,20,75.0,4,5,81.43274853801171
39,20,75.0,4,5,81.43274853801171
39,20,75.0,4,5,81.43274853801171
40,20,75.0,4,5,81.43274853801171
40,20,75.0,4,5,81.43274853801171
40,20,75.0,4,5,81.43274853801171
40,20,75.0,2,5,82.16374269005848
38,21,75.0,4,5,82.23684210526315
40,20,75.0,2,5,82.16374269005848
39,21,75.0,4,5,82.23684210526315
39,21,75.0,4,5,82.23684210526315
39,21,75.0,4,5,82.23684210526315
39,21,75.0,4,5,82.23684210526315
40,21,75.0,4,5,82.23684210526315
36,21,75.0,4,5,81.72514619883042
36,21,75.0,4,5,81.72514619883042
37,21,75.0,4,5,81.72514619883042
37,21,75.0,4,5,81.72514619883042
37,21,75.0,4,5,81.72514619883042
37,21,75.0,4,5,81.72514619883042
38,21,75.0,4,5,81.72514619883042
38,20,75.0,2,5,82.01754385964912
39,20,75.0,2,5,82.01754385964912
39,20,75.0,2,5,82.01754385964912
39,20,75.0,2,5,82.01754385964912
39,20,75.0,2,5,82.01754385964912
40,20,75.0,2,5,82.01754385964912
40,20,75.0,2,5,82.01754385964912
40,20,75.0,2,5,82.01754385964912
40,20,75.0,2,5,82.01754385964912
37,20,75.0,2,5,79.60526315789474
37,20,75.0,2,5,79.60526315789474
37,20,75.0,2,5,79.60526315789474
38,20,75.0,2,5,79.60526315789474
36,20,75.0,4,5,79.60526315789474
37,20,75.0,4,5,79.60526315789474
37,20,75.0,4,5,79.60526315789474
37,20,75.0,4,5,79.60526315789474
37,20,75.0,6,5,79.60526315789474
37,20,75.0,6,5,81.7982456140351
37,20,75.0,6,5,81.7982456140351
38,20,75.0,6,5,81.7982456140351
38,20,75.0,6,5,81.7982456140351
38,20,75.0,6,5,81.7982456140351
38,20,75.0,6,5,81.7982456140351
39,20,75.0,6,5,81.7982456140351
39,20,75.0,6,5,81.7982456140351
39,20,75.0,6,5,81.7982456140351
34,20,92.0,2,5,81.06725146198829
35,20,92.0,2,5,81.06725146198829
35,20,92.0,2,5,81.06725146198829
35,20,92.0,2,5,81.06725146198829
35,20,92.0,2,5,81.06725146198829
36,20,92.0,2,5,81.06725146198829
36,20,92.0,2,5,81.06725146198829
36,20,92.0,2,5,81.06725146198829
36,20,92.0,2,5,81.06725146198829
