grid_x,grid_y,nb_trp_inside,s_nb_trp_inside,impact_trp_retour
0,0,0,0,0.0
1,0,0,0,0.0
2,0,0,0,0.0
3,0,0,0,0.0
4,0,1,363,0.0
5,0,1,3,0.0
6,0,2,712,0.0
7,0,1,359,0.0
8,0,2,708,0.0
9,0,0,0,0.0
16,2,1,407,0.0039619586
24,8,1,7,0.0142628045
12,0,1,1,0.0
13,0,2,707,0.0
14,0,1,351,0.0
15,0,1,347,0.0
16,0,0,0,0.0
17,0,1,1,0.0
18,0,2,660,0.0
19,0,0,0,0.0
20,0,0,0,0.0
21,0,0,0,0.0
22,0,0,0,0.0
23,0,0,0,0.0
24,0,0,0,0.0
25,0,0,0,0.0
26,0,0,0,0.0
27,0,0,0,0.0
28,0,0,0,0.0
29,0,0,0,0.0
30,0,0,0,0.0
31,0,0,0,0.0
32,0,0,0,0.0
33,0,0,0,0.0
34,0,0,0,0.0
35,0,0,0,0.0
0,1,0,0,0.0
1,1,0,0,0.0
2,1,0,0,0.0
3,1,0,0,0.0
4,1,0,0,0.0
6,2,4,1440,0.0095457496
16,3,3,969,0.0066403337
13,0,1,348,0.0141286988
17,3,3,983,0.0189364305
9,3,3,1149,0.0091896144
30,9,1,331,0.0101330371
32,12,2,565,0.0044018902
18,4,1,375,0.0053365589
27,4,1,281,0.0106801176
31,13,3,692,0.0149496557
14,0,2,711,0.0050719298
16,1,1,383,0.0
29,11,2,454,0.004572117
15,0,1,348,0.0171450159
19,1,1,16,0.0
20,1,2,685,0.0
21,1,0,0,0.0
22,1,0,0,0.0
23,1,0,0,0.0
24,1,0,0,0.0
25,1,0,0,0.0
26,1,0,0,0.0
27,1,0,0,0.0
28,1,0,0,0.0
29,1,0,0,0.0
30,1,0,0,0.0
31,1,0,0,0.0
32,1,0,0,0.0
33,1,0,0,0.0
34,1,0,0,0.0
35,1,0,0,0.0
0,2,0,0,0.0
1,2,0,0,0.0
2,2,0,0,0.0
3,2,0,0,0.0
4,2,0,0,0.0
8,0,1,346,0.0038358774
6,2,3,1099,0.0
7,2,2,705,0.005197089
18,0,2,663,0.0201597826
31,11,1,8,0.0130713177
27,12,4,1032,0.0046878886
11,2,1,21,0.0
29,7,7,2185,0.0165520621
27,6,1,345,0.0065184098
26,9,2,694,0.0057178498
28,13,1,299,0.0097854771
8,2,2,694,0.0089395281
29,11,2,447,0.0096134046
23,8,1,33,0.0052651144
19,2,3,1092,0.0
20,2,1,27,0.0
21,2,1,352,0.0
22,2,1,7,0.0
23,2,1,307,0.0
24,2,0,0,0.0
25,2,0,0,0.0
26,2,0,0,0.0
27,2,0,0,0.0
28,2,0,0,0.0
29,2,0,0,0.0
30,2,0,0,0.0
31,2,0,0,0.0
32,2,0,0,0.0
33,2,0,0,0.0
34,2,0,0,0.0
35,2,0,0,0.0
0,3,0,0,0.0
1,3,0,0,0.0
2,3,0,0,0.0
3,3,0,0,0.0
4,3,1,370,0.0
25,7,1,88,0.0038844182
23,7,1,48,0.0000005913
29,13,2,339,0.014162791
25,9,2,432,0.0058134127
8,1,3,1091,0.0099851086
10,3,4,1523,0.0
31,12,2,578,0.0106672426
32,12,3,745,0.0043261226
13,1,2,725,0.0127811935
24,3,1,285,0.0050450127
15,3,3,883,0.0
16,3,2,652,0.0
17,3,2,670,0.0
26,4,1,330,0.0043966745
10,3,3,1122,0.0187174741
21,6,1,42,0.005397039
28,6,2,627,0.0095079728
17,3,1,354,0.0055710494
23,3,1,323,0.0
24,3,1,291,0.0
25,3,1,2,0.0
26,3,0,0,0.0
27,3,0,0,0.0
28,3,0,0,0.0
29,3,0,0,0.0
30,3,0,0,0.0
31,3,0,0,0.0
32,3,0,0,0.0
33,3,0,0,0.0
34,3,0,0,0.0
35,3,0,0,0.0
0,4,0,0,0.0
1,4,0,0,0.0
2,4,0,0,0.0
3,4,0,0,0.0
4,4,1,8,0.0
5,4,1,358,0.0
6,4,1,367,0.0
7,4,1,27,0.0
8,4,1,417,0.0
9,4,2,804,0.0
10,4,1,376,0.0
11,4,1,8,0.0
12,4,1,13,0.0
13,4,1,29,0.0
14,4,1,51,0.0
15,4,1,10,0.0
16,4,1,23,0.0
17,4,2,658,0.0
18,4,1,376,0.0
15,3,4,1265,0.0042995551
19,2,4,1440,0.0148910422
17,1,3,1055,0.0146564933
23,2,1,306,0.0047941793
26,7,1,13,0.0047460073
31,11,2,453,0.0112762586
6,3,5,1795,0.0092933577
26,4,1,330,0.0
27,4,1,280,0.0
28,4,0,0,0.0
29,4,0,0,0.0
30,4,0,0,0.0
31,4,0,0,0.0
32,4,0,0,0.0
33,4,0,0,0.0
34,4,0,0,0.0
35,4,0,0,0.0
0,5,0,0,0.0
1,5,0,0,0.0
2,5,0,0,0.0
3,5,0,0,0.0
4,5,1,2,0.0
5,5,1,7,0.0
6,5,1,15,0.0
7,5,1,6,0.0
8,5,1,68,0.0
9,5,1,58,0.0
10,5,1,13,0.0
11,5,1,10,0.0
12,5,1,32,0.0
13,5,1,39,0.0
14,5,1,25,0.0
15,5,1,20,0.0
16,5,1,14,0.0
17,5,1,7,0.0
18,5,1,6,0.0
19,5,2,646,0.0
25,8,2,457,0.0080787933
14,2,3,1097,0.0214114497
22,5,1,417,0.0
23,5,1,54,0.0
32,12,1,246,0.0138116882
6,1,2,708,0.0058132832
26,5,0,0,0.0
18,1,2,775,0.0122267297
28,5,0,0,0.0
29,5,0,0,0.0
30,5,0,0,0.0
31,5,0,0,0.0
32,5,0,0,0.0
33,5,0,0,0.0
34,5,0,0,0.0
35,5,0,0,0.0
0,6,0,0,0.0
1,6,0,0,0.0
2,6,0,0,0.0
3,6,0,0,0.0
4,6,0,0,0.0
5,6,1,15,0.0
6,6,2,90,0.0
7,6,1,53,0.0
8,6,1,147,0.0
9,6,1,18,0.0
10,6,1,4,0.0
11,6,1,6,0.0
12,6,1,54,0.0
13,6,1,32,0.0
14,6,1,14,0.0
15,6,1,12,0.0
16,6,0,0,0.0
17,6,0,0,0.0
18,6,1,8,0.0
19,6,1,12,0.0
20,6,1,5,0.0
29,7,6,1907,0.0057987142
29,7,5,1626,0.0072442856
24,4,1,295,0.009189387
27,8,3,923,0.0151245935
30,7,3,941,0.0062708631
25,6,1,361,0.0060606267
29,6,4,1315,0.0043799666
13,2,5,1753,0.0094787728
29,6,2,623,0.0
30,6,0,0,0.0
31,6,0,0,0.0
32,6,0,0,0.0
33,6,0,0,0.0
34,6,0,0,0.0
35,6,0,0,0.0
0,7,0,0,0.0
1,7,0,0,0.0
2,7,0,0,0.0
3,7,0,0,0.0
4,7,1,29,0.0
5,7,2,98,0.0
6,7,0,0,0.0
7,7,1,21,0.0
8,7,1,42,0.0
9,7,1,10,0.0
10,7,1,31,0.0
11,7,1,11,0.0
12,7,1,88,0.0
13,7,1,8,0.0
14,7,1,11,0.0
15,7,1,18,0.0
16,7,1,12,0.0
17,7,1,13,0.0
18,7,1,8,0.0
19,7,1,9,0.0
20,7,1,32,0.0
21,7,1,27,0.0
22,7,1,40,0.0
18,0,2,663,0.0037713516
27,8,2,642,0.0091019016
25,7,1,42,0.0
5,2,3,1086,0.0097189082
12,1,2,719,0.0049982397
24,8,1,77,0.0055248717
29,7,6,1905,0.0
7,2,5,1770,0.008810016
31,7,1,296,0.0
32,7,0,0,0.0
33,7,0,0,0.0
34,7,0,0,0.0
35,7,0,0,0.0
0,8,0,0,0.0
1,8,1,2,0.0
2,8,1,14,0.0
3,8,2,77,0.0
4,8,1,46,0.0
5,8,1,2,0.0
6,8,1,1,0.0
7,8,1,13,0.0
8,8,1,85,0.0
9,8,1,14,0.0
10,8,1,23,0.0
11,8,1,86,0.0
12,8,1,90,0.0
13,8,1,106,0.0
14,8,1,97,0.0
15,8,1,87,0.0
16,8,1,77,0.0
17,8,1,70,0.0
18,8,1,72,0.0
19,8,1,81,0.0
20,8,1,62,0.0
21,8,1,52,0.0
22,8,1,27,0.0
23,8,1,1,0.0
26,6,1,356,0.0050248071
24,8,1,56,0.00897551
17,4,2,663,0.0135295566
25,6,1,38,0.0045427536
21,5,2,646,0.0117257941
10,3,2,775,0.0117646984
13,2,4,1414,0.0200358662
31,8,2,560,0.0
32,8,0,0,0.0
33,8,0,0,0.0
34,8,0,0,0.0
35,8,0,0,0.0
0,9,0,0,0.0
1,9,1,18,0.0
2,9,1,37,0.0
3,9,1,24,0.0
4,9,1,1,0.0
5,9,0,0,0.0
6,9,1,28,0.0
7,9,1,18,0.0
8,9,1,70,0.0
9,9,1,18,0.0
10,9,1,22,0.0
11,9,1,96,0.0
12,9,1,171,0.0
13,9,1,15,0.0
14,9,1,9,0.0
15,9,1,7,0.0
16,9,1,8,0.0
17,9,1,16,0.0
18,9,1,18,0.0
19,9,1,8,0.0
20,9,1,11,0.0
21,9,1,1,0.0
22,9,0,0,0.0
23,9,0,0,0.0
24,9,1,1,0.0
25,9,1,352,0.0
27,12,3,715,0.0147635947
27,9,1,74,0.0
29,12,2,331,0.0165087254
25,8,2,432,0.0247072876
30,9,2,409,0.0
31,9,1,288,0.0
32,9,1,315,0.0
33,9,0,0,0.0
