nb_cycle_aller,moy_cycle_aller,d_eau / 1000,propor_utilisa_aller
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
30,21,10.0,51.388888888888886
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
33,23,15.0,48.83040935672515
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
39,27,20.0,45.614035087719294
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
42,27,25.0,45.83333333333333
