nb_cycle_aller,moy_cycle_aller,d_eau,propor_utilisa_aller
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
33,22,10.0,53.58187134502924
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
39,26,15.0,50.0
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
52,29,20.0,44.80994152046784
