nb_cycle_retour,moy_cycle_retour,d_eau / 1000,propor_utilisa_retour
35,24,25.0,55.77485380116959
34,24,25.0,55.11695906432749
35,24,25.0,55.11695906432749
37,24,25.0,54.824561403508774
35,24,25.0,55.77485380116959
37,24,25.0,54.97076023391813
37,24,25.0,54.824561403508774
35,24,25.0,55.11695906432749
35,24,25.0,54.385964912280706
35,24,25.0,55.77485380116959
36,24,25.0,55.77485380116959
35,24,25.0,55.11695906432749
