nb_cycle_retour,moy_cycle_retour,dist_veto,propor_utilisa_retour,jour_marche
0,0,1.0,0.0,4
22,15,1.0,52.63157894736842,4
23,16,1.0,53.50877192982456,4
23,16,1.0,53.50877192982456,4
22,15,1.0,53.58187134502924,4
22,16,1.0,51.461988304093566,4
22,15,1.0,53.58187134502924,4
23,15,1.0,53.58187134502924,4
22,16,1.0,52.85087719298246,4
22,16,1.0,52.85087719298246,4
22,16,1.0,52.77777777777778,4
22,16,1.0,52.85087719298246,4
23,16,1.0,52.77777777777778,4
23,16,1.0,52.85087719298246,4
23,16,1.0,52.77777777777778,4
23,16,1.0,52.85087719298246,4
23,16,1.0,52.85087719298246,4
23,16,1.0,52.85087719298246,4
24,16,1.0,52.85087719298246,4
24,16,1.0,52.85087719298246,4
24,16,1.0,52.85087719298246,4
24,16,1.0,52.85087719298246,4
25,16,1.0,52.85087719298246,4
21,15,1.0,52.99707602339181,4
22,15,1.0,52.99707602339181,4
22,15,1.0,52.99707602339181,4
22,15,1.0,52.99707602339181,4
22,15,1.0,52.99707602339181,4
23,15,1.0,52.99707602339181,4
22,16,1.0,51.75438596491229,4
0,0,1.0,0.0,4
22,15,1.0,51.16959064327485,4
0,0,1.0,0.0,4
22,15,1.0,51.16959064327485,4
22,15,1.0,51.16959064327485,4
23,16,1.0,50.73099415204678,4
24,16,1.0,50.73099415204678,4
24,16,1.0,50.73099415204678,4
22,16,1.0,51.24269005847953,4
22,16,1.0,51.24269005847953,4
22,16,1.0,51.24269005847953,4
22,16,1.0,51.24269005847953,4
23,16,1.0,51.24269005847953,4
23,16,1.0,51.24269005847953,4
23,16,1.0,51.24269005847953,4
23,16,1.0,51.24269005847953,4
24,16,1.0,51.24269005847953,4
24,16,1.0,51.24269005847953,4
24,16,1.0,51.24269005847953,4
24,16,1.0,53.58187134502924,4
24,16,1.0,53.58187134502924,4
22,16,1.0,50.6578947368421,4
23,16,1.0,52.7046783625731,4
23,16,1.0,50.6578947368421,4
23,16,1.0,52.046783625730995,4
23,16,1.0,52.046783625730995,4
23,16,1.0,52.046783625730995,4
22,16,1.0,54.09356725146199,4
23,16,1.0,54.09356725146199,4
23,16,1.0,54.09356725146199,4
23,16,1.0,54.09356725146199,4
0,0,1.0,0.0,5
21,15,1.0,51.827485380116954,5
21,15,1.0,51.827485380116954,5
21,15,1.0,52.63157894736842,5
21,15,1.0,51.827485380116954,5
21,15,1.0,52.63157894736842,5
21,15,1.0,51.827485380116954,5
22,15,1.0,51.827485380116954,5
23,16,1.0,53.43567251461988,5
23,16,1.0,53.43567251461988,5
22,16,1.0,53.3625730994152,5
23,16,1.0,51.388888888888886,5
23,16,1.0,53.58187134502924,5
23,16,1.0,51.388888888888886,5
23,16,1.0,51.388888888888886,5
23,16,1.0,53.58187134502924,5
23,16,1.0,53.58187134502924,5
23,16,1.0,51.388888888888886,5
24,16,1.0,51.388888888888886,5
24,16,1.0,53.58187134502924,5
24,16,1.0,53.58187134502924,5
24,16,1.0,53.58187134502924,5
22,16,1.0,52.99707602339181,5
22,16,1.0,52.99707602339181,5
23,16,1.0,52.99707602339181,5
23,16,1.0,52.92397660818714,5
23,16,1.0,52.99707602339181,5
23,16,1.0,52.99707602339181,5
23,16,1.0,52.99707602339181,5
24,16,1.0,52.99707602339181,5
22,15,1.0,53.143274853801174,5
22,15,1.0,53.143274853801174,5
22,16,1.0,51.75438596491229,5
21,15,1.0,51.09649122807017,5
21,16,1.0,51.02339181286549,5
21,16,1.0,51.02339181286549,5
22,16,1.0,51.02339181286549,5
22,16,1.0,51.02339181286549,5
22,16,1.0,51.02339181286549,5
22,16,1.0,51.02339181286549,5
23,16,1.0,51.02339181286549,5
0,0,1.0,0.0,5
22,16,1.0,53.43567251461988,5
22,16,1.0,53.43567251461988,5
23,16,1.0,53.43567251461988,5
0,0,1.0,0.0,5
23,15,1.0,50.36549707602339,5
23,15,1.0,50.36549707602339,5
0,0,1.0,0.0,5
