nb_cycle_retour,moy_cycle_retour,propor_utilisa_retour,nb_trp
22,15,50.14619883040936,200
22,15,50.14619883040936,200
23,16,51.31578947368421,200
21,15,52.7046783625731,200
22,15,53.87426900584795,200
22,16,53.07017543859649,200
21,15,52.7046783625731,200
22,16,51.60818713450293,200
22,16,51.68128654970761,200
23,16,51.60818713450293,200
23,16,51.68128654970761,200
23,16,51.60818713450293,200
23,16,51.60818713450293,200
22,15,54.751461988304094,200
23,16,51.60818713450293,200
23,15,54.751461988304094,200
23,15,54.751461988304094,200
23,15,52.99707602339181,200
23,15,54.751461988304094,200
23,15,54.751461988304094,200
23,15,52.99707602339181,200
24,15,52.99707602339181,200
24,15,54.751461988304094,200
24,15,54.824561403508774,200
24,16,51.900584795321635,200
24,16,51.900584795321635,200
22,16,53.07017543859649,200
22,16,50.877192982456144,200
22,15,52.55847953216374,200
22,15,53.3625730994152,200
22,16,53.07017543859649,200
23,16,53.07017543859649,200
24,16,52.046783625730995,200
22,15,51.68128654970761,200
22,15,51.68128654970761,200
22,15,51.68128654970761,200
23,15,51.68128654970761,200
23,15,51.68128654970761,200
23,15,51.68128654970761,200
23,15,51.68128654970761,200
24,15,51.68128654970761,200
24,15,51.68128654970761,200
24,15,51.68128654970761,200
21,16,52.33918128654971,200
21,16,52.41228070175439,200
22,16,52.41228070175439,200
22,16,52.41228070175439,200
22,16,52.41228070175439,200
22,15,53.07017543859649,200
22,15,53.07017543859649,200
22,15,53.07017543859649,200
22,16,50.950292397660824,200
21,16,50.877192982456144,200
21,16,50.877192982456144,200
22,16,50.950292397660824,200
22,15,52.99707602339181,200
23,15,52.99707602339181,200
22,16,50.877192982456144,200
22,15,51.02339181286549,200
22,16,50.877192982456144,200
22,15,51.02339181286549,200
22,16,50.877192982456144,200
23,16,53.94736842105263,200
22,16,50.877192982456144,200
22,15,51.09649122807017,200
23,16,53.94736842105263,200
24,16,53.94736842105263,200
23,15,51.09649122807017,200
23,16,50.877192982456144,200
24,16,52.85087719298246,200
23,15,51.09649122807017,200
23,16,50.877192982456144,200
24,16,52.85087719298246,200
24,16,52.85087719298246,200
22,16,51.900584795321635,200
22,16,53.50877192982456,200
23,16,53.143274853801174,200
22,16,53.50877192982456,200
22,15,51.973684210526315,200
23,16,53.143274853801174,200
22,16,53.50877192982456,200
22,16,55.04385964912281,200
22,16,55.04385964912281,200
21,15,53.143274853801174,200
22,16,53.50877192982456,200
22,15,53.143274853801174,200
23,16,55.04385964912281,200
23,16,53.50877192982456,200
22,15,53.143274853801174,200
22,15,51.900584795321635,200
22,15,53.143274853801174,200
22,15,51.900584795321635,200
22,15,53.143274853801174,200
23,15,53.143274853801174,200
22,15,51.827485380116954,200
20,15,49.63450292397661,200
21,15,52.33918128654971,200
20,15,49.63450292397661,200
23,16,50.36549707602339,200
21,15,49.63450292397661,200
22,15,52.33918128654971,200
22,15,52.33918128654971,200
23,16,50.36549707602339,200
21,15,49.63450292397661,200
22,16,53.289473684210535,200
21,15,49.63450292397661,200
22,16,53.289473684210535,200
23,16,50.36549707602339,200
22,16,53.289473684210535,200
21,15,53.94736842105263,200
23,16,50.36549707602339,200
21,15,49.63450292397661,200
22,15,51.60818713450293,200
24,16,50.36549707602339,200
22,15,49.63450292397661,200
23,16,53.289473684210535,200
22,15,51.60818713450293,200
22,15,49.63450292397661,200
24,16,50.36549707602339,200
23,16,53.289473684210535,200
23,16,53.289473684210535,200
22,15,49.63450292397661,200
22,15,51.60818713450293,200
22,16,53.143274853801174,200
22,15,51.60818713450293,200
22,15,49.63450292397661,200
23,16,53.289473684210535,200
23,15,49.63450292397661,200
23,15,51.60818713450293,200
24,16,53.289473684210535,200
23,15,49.63450292397661,200
24,16,53.289473684210535,200
23,15,49.63450292397661,200
