grid_x,grid_y,nb_trp_inside,impact_trp_aller,s_nb_trp_inside,impact_trp_aller
3,2,0,0.0,0,0.0
33,2,0,0.0,0,0.0
34,2,0,0.0,0,0.0
4,2,1,0.0,14,0.0
35,2,0,0.0,0,0.0
11,1,1,0.000012754,19,0.000012754
0,3,0,0.0,0,0.0
25,6,1,0.0000317583,12,0.0000317583
7,2,2,0.0,6,0.0
1,3,0,0.0,0,0.0
2,3,1,0.0,2,0.0
8,2,1,0.0,5,0.0
3,3,1,0.0,8,0.0
9,2,1,0.0,13,0.0
4,3,1,0.0,20,0.0
11,3,1,0.0000435636,8,0.0000435636
27,8,1,0.0000333496,8,0.0000333496
12,0,2,0.0000279416,4,0.0000279416
30,10,1,0.0000436071,15,0.0000436071
21,5,1,0.00000148,46,0.00000148
24,7,2,0.0000436578,88,0.0000436578
29,13,1,0.0000676295,82,0.0000676295
14,0,2,0.000013471,10,0.000013471
24,4,1,0.0000056565,9,0.0000056565
15,2,1,0.0,3,0.0
27,6,2,0.0000323686,6,0.0000323686
7,3,3,0.0000737431,10,0.0000737431
10,3,2,0.0,102,0.0
23,6,1,0.0000434333,31,0.0000434333
29,13,1,0.0000641118,80,0.0000641118
16,0,1,0.0000150572,3,0.0000150572
27,6,2,0.0000213339,6,0.0000213339
29,9,2,0.0000274853,41,0.0000274853
13,3,1,0.0,53,0.0
30,8,2,0.000015231,12,0.000015231
22,1,1,0.0000169693,3,0.0000169693
10,0,3,0.0000136231,9,0.0000136231
15,3,1,0.0,14,0.0
6,2,1,0.0000465403,14,0.0000465403
16,3,1,0.0,26,0.0
23,2,3,0.0,6,0.0
8,0,1,0.0000155573,7,0.0000155573
24,2,1,0.0,2,0.0
18,3,1,0.0,10,0.0
25,2,0,0.0,0,0.0
30,6,1,0.000064409,7,0.000064409
26,2,0,0.0,0,0.0
20,3,1,0.0,6,0.0
27,2,0,0.0,0,0.0
12,2,1,0.0000175886,41,0.0000175886
28,2,0,0.0,0,0.0
30,9,1,0.0000165729,11,0.0000165729
29,2,0,0.0,0,0.0
20,4,1,0.0000685708,25,0.0000685708
30,2,0,0.0,0,0.0
24,3,2,0.0,14,0.0
31,2,0,0.0,0,0.0
25,3,0,0.0,0,0.0
32,2,0,0.0,0,0.0
26,3,0,0.0,0,0.0
33,2,0,0.0,0,0.0
27,3,0,0.0,0,0.0
34,2,0,0.0,0,0.0
28,3,0,0.0,0,0.0
35,2,0,0.0,0,0.0
29,3,0,0.0,0,0.0
0,3,0,0.0,0,0.0
30,3,0,0.0,0,0.0
1,3,0,0.0,0,0.0
31,3,0,0.0,0,0.0
2,3,1,0.0,1,0.0
32,3,0,0.0,0,0.0
3,3,1,0.0,27,0.0
33,3,0,0.0,0,0.0
4,3,1,0.0,41,0.0
34,3,0,0.0,0,0.0
5,3,1,0.0,11,0.0
35,3,0,0.0,0,0.0
6,3,2,0.0,4,0.0
0,4,0,0.0,0,0.0
5,2,1,0.0000416081,17,0.0000416081
1,4,0,0.0,0,0.0
30,10,1,0.0000426293,14,0.0000426293
2,4,1,0.0,14,0.0
14,0,1,0.0000281588,7,0.0000281588
3,4,0,0.0,0,0.0
27,6,2,0.0000162642,16,0.0000162642
4,4,1,0.0,7,0.0
12,2,1,0.0000438483,39,0.0000438483
5,4,1,0.0,9,0.0
13,3,1,0.0000564915,38,0.0000564915
6,4,1,0.0,1,0.0
13,3,1,0.0,55,0.0
7,4,2,0.0,5,0.0
13,3,1,0.000029897,34,0.000029897
8,4,1,0.0,3,0.0
15,3,1,0.0,16,0.0
9,4,2,0.0,24,0.0
16,3,1,0.0,35,0.0
10,4,1,0.0,72,0.0
17,3,3,0.0,14,0.0
11,4,1,0.0,4,0.0
31,9,1,0.0000579689,5,0.0000579689
12,4,1,0.0,9,0.0
19,3,1,0.0,10,0.0
13,4,1,0.0,30,0.0
20,3,1,0.0,1,0.0
14,4,1,0.0,64,0.0
7,1,1,0.0000418906,3,0.0000418906
15,4,1,0.0,14,0.0
12,1,2,0.0000310918,6,0.0000310918
16,4,1,0.0,3,0.0
9,3,1,0.0000283326,72,0.0000283326
17,4,1,0.0,5,0.0
24,3,1,0.0,3,0.0
25,3,0,0.0,0,0.0
18,4,1,0.0,2,0.0
26,3,0,0.0,0,0.0
23,8,1,0.0000339178,115,0.0000339178
27,3,0,0.0,0,0.0
20,4,1,0.0,32,0.0
28,3,0,0.0,0,0.0
21,4,1,0.0,19,0.0
29,3,0,0.0,0,0.0
19,5,1,0.0000320806,44,0.0000320806
30,3,0,0.0,0,0.0
13,3,1,0.0000160527,62,0.0000160527
31,3,0,0.0,0,0.0
22,8,1,0.0000033385,98,0.0000033385
32,3,0,0.0,0,0.0
12,2,1,0.000134491,28,0.000134491
33,3,0,0.0,0,0.0
26,4,0,0.0,0,0.0
34,3,0,0.0,0,0.0
27,4,1,0.0,2,0.0
35,3,0,0.0,0,0.0
28,4,0,0.0,0,0.0
0,4,0,0.0,0,0.0
29,4,0,0.0,0,0.0
1,4,0,0.0,0,0.0
30,4,0,0.0,0,0.0
2,4,1,0.0,49,0.0
31,4,0,0.0,0,0.0
3,4,0,0.0,0,0.0
32,4,0,0.0,0,0.0
4,4,1,0.0,3,0.0
33,4,0,0.0,0,0.0
5,4,1,0.0,1,0.0
34,4,0,0.0,0,0.0
6,4,0,0.0,0,0.0
35,4,0,0.0,0,0.0
7,4,2,0.0,7,0.0
8,4,1,0.0,5,0.0
0,5,0,0.0,0,0.0
1,5,0,0.0,0,0.0
9,4,1,0.0,12,0.0
2,5,1,0.0,8,0.0
10,4,1,0.0,62,0.0
3,5,1,0.0,10,0.0
11,4,0,0.0,0,0.0
4,5,1,0.0,8,0.0
12,4,1,0.0,12,0.0
5,5,1,0.0,2,0.0
13,4,1,0.0,21,0.0
14,4,1,0.0,68,0.0
6,5,0,0.0,0,0.0
7,5,2,0.0,4,0.0
15,4,2,0.0,19,0.0
8,5,3,0.0,57,0.0
16,4,1,0.0,3,0.0
9,5,2,0.0,92,0.0
17,4,1,0.0,12,0.0
10,5,1,0.0,8,0.0
18,4,1,0.0,11,0.0
11,5,1,0.0,3,0.0
19,4,1,0.0,3,0.0
12,5,1,0.0,13,0.0
11,2,1,0.0000278764,12,0.0000278764
13,5,1,0.0,31,0.0
31,9,1,0.0000493382,7,0.0000493382
14,5,1,0.0,52,0.0
27,9,1,0.0000299405,82,0.0000299405
15,5,1,0.0,82,0.0
29,6,1,0.0000156438,5,0.0000156438
16,5,1,0.0,17,0.0
