nb_cycle_retour,moy_cycle_retour,d_res_soc,jour_res_soc,nbr_elmt_res_soc,propor_utilisa_retour
42,23,75.0,4,5,84.7953216374269
42,23,75.0,4,5,84.7953216374269
43,23,75.0,4,5,84.7953216374269
43,23,75.0,4,5,84.7953216374269
43,23,75.0,4,5,84.7953216374269
44,23,75.0,2,5,84.94152046783626
44,23,75.0,2,5,84.94152046783626
43,23,75.0,4,5,84.7953216374269
45,23,75.0,2,5,84.94152046783626
44,23,75.0,4,5,84.7953216374269
45,23,75.0,2,5,84.94152046783626
44,23,75.0,4,5,84.7953216374269
45,23,75.0,2,5,84.94152046783626
44,23,75.0,4,5,84.7953216374269
44,23,75.0,4,5,84.7953216374269
45,23,75.0,2,5,84.94152046783626
45,23,75.0,4,5,84.7953216374269
46,23,75.0,2,5,84.94152046783626
46,23,75.0,2,5,84.94152046783626
46,23,75.0,2,5,84.94152046783626
46,23,75.0,2,5,84.94152046783626
47,23,75.0,2,5,84.94152046783626
47,23,75.0,2,5,84.94152046783626
47,23,75.0,2,5,84.94152046783626
47,23,75.0,2,5,84.94152046783626
45,23,75.0,6,5,85.08771929824562
44,23,75.0,2,5,85.38011695906432
48,23,75.0,2,5,84.94152046783626
46,23,75.0,6,5,85.08771929824562
44,23,75.0,6,5,85.1608187134503
44,23,75.0,4,5,85.38011695906432
44,23,75.0,2,5,85.38011695906432
44,23,75.0,2,5,85.38011695906432
44,23,75.0,6,5,85.1608187134503
44,23,75.0,4,5,85.38011695906432
44,23,75.0,4,5,85.38011695906432
44,23,75.0,2,5,85.38011695906432
44,23,75.0,6,5,85.1608187134503
45,23,75.0,4,5,85.38011695906432
45,23,75.0,6,5,85.1608187134503
45,23,75.0,2,5,85.38011695906432
45,23,75.0,6,5,85.1608187134503
42,23,75.0,4,5,83.84502923976608
45,23,75.0,2,5,85.38011695906432
45,23,75.0,4,5,85.38011695906432
43,23,75.0,2,5,83.62573099415205
45,23,75.0,6,5,85.1608187134503
45,23,75.0,4,5,85.38011695906432
42,23,75.0,4,5,83.84502923976608
45,23,75.0,2,5,85.38011695906432
