nb_cycle_retour,moy_cycle_retour,dist_veto,propor_utilisa_retour,jour_marche
22,16,15.0,53.94736842105263,4
0,0,15.0,0.0,4
22,16,15.0,53.94736842105263,4
0,0,15.0,0.0,4
22,16,15.0,53.94736842105263,4
0,0,15.0,0.0,4
22,16,15.0,53.94736842105263,4
22,16,15.0,54.02046783625731,4
22,16,15.0,54.02046783625731,4
22,16,15.0,54.02046783625731,4
22,16,15.0,53.94736842105263,4
22,16,15.0,53.94736842105263,4
22,16,15.0,53.94736842105263,4
22,16,15.0,54.02046783625731,4
22,16,15.0,53.94736842105263,4
23,16,15.0,53.94736842105263,4
23,16,15.0,54.02046783625731,4
23,16,15.0,53.94736842105263,4
23,16,15.0,53.94736842105263,4
23,16,15.0,53.94736842105263,4
23,16,15.0,54.02046783625731,4
23,16,15.0,53.94736842105263,4
23,16,15.0,54.02046783625731,4
23,16,15.0,53.94736842105263,4
23,16,15.0,54.02046783625731,4
23,16,15.0,53.94736842105263,4
23,16,15.0,54.02046783625731,4
23,16,15.0,54.02046783625731,4
23,16,15.0,53.94736842105263,4
23,16,15.0,53.94736842105263,4
23,16,15.0,53.94736842105263,4
23,16,15.0,54.02046783625731,4
22,16,15.0,53.94736842105263,4
22,16,15.0,53.94736842105263,4
23,16,15.0,53.94736842105263,4
22,16,15.0,53.94736842105263,4
0,0,15.0,0.0,4
23,16,15.0,53.94736842105263,4
23,16,15.0,53.94736842105263,4
22,16,15.0,53.94736842105263,4
23,16,15.0,53.94736842105263,4
23,16,15.0,53.94736842105263,4
23,16,15.0,53.94736842105263,4
23,16,15.0,53.94736842105263,4
23,16,15.0,53.94736842105263,4
23,16,15.0,53.94736842105263,4
23,16,15.0,53.94736842105263,4
23,16,15.0,54.02046783625731,4
23,16,15.0,54.02046783625731,4
23,16,15.0,53.94736842105263,4
24,16,15.0,53.94736842105263,4
24,16,15.0,53.94736842105263,4
23,16,15.0,54.02046783625731,4
24,16,15.0,53.94736842105263,4
24,16,15.0,53.94736842105263,4
24,16,15.0,54.02046783625731,4
22,16,15.0,53.50877192982456,5
22,16,15.0,53.50877192982456,5
22,16,15.0,53.58187134502924,5
22,16,15.0,53.58187134502924,5
22,16,15.0,53.50877192982456,5
23,16,15.0,53.50877192982456,5
23,16,15.0,53.50877192982456,5
22,16,15.0,53.58187134502924,5
0,0,15.0,0.0,5
22,16,15.0,53.58187134502924,5
23,16,15.0,53.58187134502924,5
22,16,15.0,53.58187134502924,5
22,16,15.0,53.58187134502924,5
23,16,15.0,53.58187134502924,5
23,16,15.0,53.50877192982456,5
22,16,15.0,53.58187134502924,5
23,16,15.0,53.58187134502924,5
21,16,15.0,53.50877192982456,5
21,16,15.0,53.50877192982456,5
23,16,15.0,53.58187134502924,5
22,16,15.0,53.50877192982456,5
22,16,15.0,53.50877192982456,5
22,16,15.0,53.58187134502924,5
22,16,15.0,53.50877192982456,5
23,16,15.0,53.58187134502924,5
23,16,15.0,53.50877192982456,5
23,16,15.0,53.58187134502924,5
22,16,15.0,53.50877192982456,5
23,16,15.0,53.50877192982456,5
22,16,15.0,53.50877192982456,5
22,16,15.0,53.50877192982456,5
23,16,15.0,53.50877192982456,5
24,16,15.0,53.50877192982456,5
23,16,15.0,53.50877192982456,5
23,16,15.0,53.50877192982456,5
23,16,15.0,53.50877192982456,5
23,16,15.0,53.50877192982456,5
24,16,15.0,53.50877192982456,5
22,16,15.0,53.58187134502924,5
22,16,15.0,53.58187134502924,5
22,16,15.0,53.58187134502924,5
22,16,15.0,53.58187134502924,5
23,16,15.0,53.58187134502924,5
22,16,15.0,53.58187134502924,5
23,16,15.0,53.58187134502924,5
22,16,15.0,53.50877192982456,5
22,16,15.0,53.50877192982456,5
23,16,15.0,53.58187134502924,5
23,16,15.0,53.50877192982456,5
22,16,15.0,53.58187134502924,5
22,16,15.0,53.43567251461988,5
22,16,15.0,53.43567251461988,5
23,16,15.0,53.43567251461988,5
23,16,15.0,53.50877192982456,5
23,16,15.0,53.50877192982456,5
23,16,15.0,53.43567251461988,5
23,16,15.0,53.65497076023392,5
22,16,15.0,54.239766081871345,6
22,16,15.0,54.459064327485386,6
23,16,15.0,54.459064327485386,6
23,16,15.0,54.239766081871345,6
23,16,15.0,54.09356725146199,6
22,16,15.0,54.166666666666664,6
23,16,15.0,54.166666666666664,6
22,16,15.0,54.166666666666664,6
23,16,15.0,54.239766081871345,6
23,16,15.0,54.459064327485386,6
21,16,15.0,54.239766081871345,6
22,16,15.0,54.239766081871345,6
22,16,15.0,54.166666666666664,6
21,16,15.0,54.239766081871345,6
22,16,15.0,54.239766081871345,6
23,16,15.0,54.166666666666664,6
22,16,15.0,54.239766081871345,6
23,16,15.0,54.166666666666664,6
23,16,15.0,54.09356725146199,6
22,16,15.0,54.239766081871345,6
23,16,15.0,54.239766081871345,6
22,16,15.0,54.09356725146199,6
22,16,15.0,54.09356725146199,6
22,16,15.0,54.312865497076025,6
22,16,15.0,54.312865497076025,6
22,16,15.0,54.09356725146199,6
23,16,15.0,54.166666666666664,6
22,16,15.0,54.239766081871345,6
23,16,15.0,54.09356725146199,6
22,16,15.0,54.239766081871345,6
23,16,15.0,54.09356725146199,6
22,16,15.0,54.239766081871345,6
22,16,15.0,54.09356725146199,6
23,16,15.0,54.09356725146199,6
23,16,15.0,54.09356725146199,6
22,16,15.0,54.239766081871345,6
23,16,15.0,54.239766081871345,6
23,16,15.0,54.09356725146199,6
23,16,15.0,54.09356725146199,6
22,16,15.0,53.143274853801174,7
0,0,15.0,0.0,7
21,16,15.0,53.143274853801174,7
22,16,15.0,53.143274853801174,7
22,16,15.0,53.07017543859649,7
23,16,15.0,53.07017543859649,7
22,16,15.0,53.143274853801174,7
22,16,15.0,53.216374269005854,7
23,16,15.0,53.216374269005854,7
21,16,15.0,53.143274853801174,7
23,16,15.0,53.07017543859649,7
21,16,15.0,53.143274853801174,7
22,16,15.0,53.07017543859649,7
23,16,15.0,53.07017543859649,7
23,16,15.0,53.07017543859649,7
22,16,15.0,53.143274853801174,7
24,16,15.0,53.07017543859649,7
22,16,15.0,53.143274853801174,7
23,16,15.0,53.07017543859649,7
22,16,15.0,53.07017543859649,7
24,16,15.0,53.07017543859649,7
22,16,15.0,53.143274853801174,7
23,16,15.0,53.07017543859649,7
23,16,15.0,53.216374269005854,7
23,16,15.0,53.07017543859649,7
23,16,15.0,53.07017543859649,7
22,16,15.0,53.216374269005854,7
23,16,15.0,53.216374269005854,7
0,0,15.0,0.0,7
23,16,15.0,53.216374269005854,7
22,16,15.0,53.07017543859649,7
23,16,15.0,53.216374269005854,7
22,16,15.0,53.216374269005854,7
23,16,15.0,53.07017543859649,7
23,16,15.0,53.289473684210535,7
22,16,15.0,53.216374269005854,7
0,0,15.0,0.0,7
23,16,15.0,53.07017543859649,7
23,16,15.0,53.216374269005854,7
23,16,15.0,53.07017543859649,7
23,16,15.0,53.07017543859649,7
23,16,15.0,53.216374269005854,7
23,16,15.0,53.143274853801174,7
23,16,15.0,53.07017543859649,7
23,16,15.0,53.216374269005854,7
24,16,15.0,53.07017543859649,7
23,16,15.0,53.143274853801174,7
24,16,15.0,53.07017543859649,7
22,15,15.0,53.143274853801174,8
22,15,15.0,53.143274853801174,8
23,15,15.0,53.143274853801174,8
0,0,15.0,0.0,8
21,16,15.0,53.143274853801174,8
22,15,15.0,53.143274853801174,8
22,15,15.0,53.143274853801174,8
22,15,15.0,53.216374269005854,8
22,16,15.0,53.143274853801174,8
22,15,15.0,53.143274853801174,8
22,15,15.0,53.143274853801174,8
22,15,15.0,53.216374269005854,8
23,15,15.0,53.143274853801174,8
22,15,15.0,53.216374269005854,8
0,0,15.0,0.0,8
23,15,15.0,53.143274853801174,8
0,0,15.0,0.0,8
22,15,15.0,53.143274853801174,8
23,15,15.0,53.143274853801174,8
23,15,15.0,53.143274853801174,8
23,15,15.0,53.143274853801174,8
23,15,15.0,53.143274853801174,8
22,16,15.0,53.143274853801174,8
22,16,15.0,53.216374269005854,8
22,16,15.0,53.216374269005854,8
22,16,15.0,53.143274853801174,8
22,16,15.0,53.216374269005854,8
22,16,15.0,53.216374269005854,8
23,16,15.0,53.216374269005854,8
22,16,15.0,53.216374269005854,8
22,16,15.0,53.143274853801174,8
22,16,15.0,53.143274853801174,8
22,15,15.0,53.07017543859649,8
22,15,15.0,53.07017543859649,8
22,16,15.0,53.143274853801174,8
0,0,15.0,0.0,8
23,15,15.0,53.07017543859649,8
23,16,15.0,53.143274853801174,8
22,16,15.0,53.216374269005854,8
22,16,15.0,53.143274853801174,8
23,15,15.0,53.07017543859649,8
22,16,15.0,53.216374269005854,8
23,15,15.0,53.07017543859649,8
23,15,15.0,53.07017543859649,8
23,16,15.0,53.216374269005854,8
23,15,15.0,53.07017543859649,8
23,15,15.0,53.07017543859649,8
23,15,15.0,53.07017543859649,8
22,16,15.0,54.239766081871345,9
23,16,15.0,54.239766081871345,9
0,0,15.0,0.0,9
22,16,15.0,54.459064327485386,9
22,16,15.0,54.459064327485386,9
22,16,15.0,54.459064327485386,9
23,16,15.0,54.459064327485386,9
23,16,15.0,54.459064327485386,9
22,16,15.0,54.312865497076025,9
23,16,15.0,54.166666666666664,9
22,16,15.0,54.239766081871345,9
23,16,15.0,54.239766081871345,9
23,16,15.0,54.239766081871345,9
22,16,15.0,54.385964912280706,9
23,16,15.0,54.239766081871345,9
22,16,15.0,54.385964912280706,9
22,16,15.0,54.312865497076025,9
22,16,15.0,54.385964912280706,9
22,16,15.0,54.312865497076025,9
22,16,15.0,54.166666666666664,9
22,16,15.0,54.239766081871345,9
23,16,15.0,54.239766081871345,9
22,16,15.0,54.166666666666664,9
23,16,15.0,54.239766081871345,9
23,16,15.0,54.166666666666664,9
23,16,15.0,54.166666666666664,9
23,16,15.0,54.166666666666664,9
22,16,15.0,54.239766081871345,9
23,16,15.0,54.239766081871345,9
23,16,15.0,54.239766081871345,9
22,16,15.0,54.239766081871345,9
23,16,15.0,54.09356725146199,9
22,16,15.0,54.239766081871345,9
22,16,15.0,54.312865497076025,9
22,16,15.0,54.239766081871345,9
22,16,15.0,54.312865497076025,9
23,16,15.0,54.239766081871345,9
22,16,15.0,54.312865497076025,9
23,16,15.0,54.239766081871345,9
22,16,15.0,54.312865497076025,9
23,16,15.0,54.312865497076025,9
23,16,15.0,54.312865497076025,9
22,16,15.0,54.166666666666664,9
0,0,15.0,0.0,9
22,16,15.0,54.166666666666664,9
22,16,15.0,54.166666666666664,9
22,16,15.0,54.312865497076025,9
23,16,15.0,54.166666666666664,9
22,16,15.0,54.312865497076025,9
23,16,15.0,54.166666666666664,9
22,16,15.0,54.312865497076025,9
22,15,15.0,52.85087719298246,10
22,15,15.0,52.85087719298246,10
22,15,15.0,52.85087719298246,10
22,15,15.0,52.85087719298246,10
22,15,15.0,52.99707602339181,10
22,15,15.0,52.99707602339181,10
22,15,15.0,52.99707602339181,10
23,16,15.0,52.99707602339181,10
0,0,15.0,0.0,10
0,0,15.0,0.0,10
21,15,15.0,52.85087719298246,10
22,16,15.0,52.85087719298246,10
23,16,15.0,52.85087719298246,10
0,0,15.0,0.0,10
22,15,15.0,52.85087719298246,10
0,0,15.0,0.0,10
22,15,15.0,52.85087719298246,10
21,16,15.0,52.99707602339181,10
22,16,15.0,52.99707602339181,10
22,16,15.0,52.99707602339181,10
22,16,15.0,52.99707602339181,10
22,16,15.0,52.85087719298246,10
22,16,15.0,52.99707602339181,10
22,16,15.0,52.85087719298246,10
22,16,15.0,52.85087719298246,10
22,16,15.0,52.85087719298246,10
22,16,15.0,52.92397660818714,10
23,16,15.0,52.92397660818714,10
23,16,15.0,52.92397660818714,10
21,15,15.0,52.99707602339181,10
22,15,15.0,52.85087719298246,10
23,15,15.0,52.85087719298246,10
22,15,15.0,52.85087719298246,10
0,0,15.0,0.0,10
22,15,15.0,52.99707602339181,10
22,15,15.0,52.85087719298246,10
22,15,15.0,52.99707602339181,10
22,15,15.0,52.85087719298246,10
22,15,15.0,52.99707602339181,10
22,15,15.0,52.85087719298246,10
23,15,15.0,52.99707602339181,10
23,15,15.0,52.99707602339181,10
22,16,15.0,52.92397660818714,10
23,15,15.0,52.85087719298246,10
23,15,15.0,52.99707602339181,10
23,15,15.0,52.85087719298246,10
23,15,15.0,52.85087719298246,10
23,15,15.0,52.99707602339181,10
22,16,15.0,52.85087719298246,10
23,15,15.0,52.85087719298246,10
22,16,15.0,52.85087719298246,10
22,16,15.0,52.85087719298246,10
22,16,15.0,52.85087719298246,10
23,16,15.0,52.85087719298246,10
23,16,15.0,52.85087719298246,10
23,16,15.0,52.85087719298246,10
22,16,15.0,52.85087719298246,11
23,16,15.0,52.85087719298246,11
23,16,15.0,52.85087719298246,11
23,16,15.0,52.7046783625731,11
23,16,15.0,52.85087719298246,11
22,16,15.0,52.7046783625731,11
21,16,15.0,52.85087719298246,11
23,16,15.0,52.77777777777778,11
23,16,15.0,52.7046783625731,11
21,16,15.0,52.85087719298246,11
22,16,15.0,52.85087719298246,11
23,16,15.0,52.7046783625731,11
23,16,15.0,52.77777777777778,11
24,16,15.0,52.77777777777778,11
22,16,15.0,52.85087719298246,11
0,0,15.0,0.0,11
0,0,15.0,0.0,11
22,16,15.0,52.92397660818714,11
22,16,15.0,52.85087719298246,11
22,16,15.0,52.85087719298246,11
22,16,15.0,52.85087719298246,11
23,16,15.0,52.7046783625731,11
22,16,15.0,52.85087719298246,11
23,16,15.0,52.7046783625731,11
23,16,15.0,52.7046783625731,11
22,16,15.0,52.85087719298246,11
22,16,15.0,52.85087719298246,11
22,16,15.0,52.85087719298246,11
23,16,15.0,52.85087719298246,11
23,16,15.0,52.77777777777778,11
22,16,15.0,52.77777777777778,11
23,16,15.0,52.77777777777778,11
22,16,15.0,52.77777777777778,11
22,16,15.0,52.77777777777778,11
23,16,15.0,52.77777777777778,11
23,16,15.0,52.77777777777778,11
23,16,15.0,52.77777777777778,11
23,16,15.0,52.77777777777778,11
22,16,15.0,52.77777777777778,11
24,16,15.0,52.77777777777778,11
23,16,15.0,52.77777777777778,11
23,16,15.0,52.77777777777778,11
23,16,15.0,52.77777777777778,11
22,16,15.0,52.92397660818714,11
22,16,15.0,52.92397660818714,11
23,16,15.0,52.92397660818714,11
23,16,15.0,52.85087719298246,11
23,16,15.0,52.63157894736842,11
0,0,15.0,0.0,12
21,16,15.0,52.92397660818714,12
22,16,15.0,52.92397660818714,12
22,16,15.0,52.7046783625731,12
0,0,15.0,0.0,12
22,16,15.0,52.85087719298246,12
22,16,15.0,52.85087719298246,12
23,16,15.0,52.85087719298246,12
0,0,15.0,0.0,12
23,16,15.0,52.85087719298246,12
22,16,15.0,52.77777777777778,12
21,16,15.0,52.85087719298246,12
23,16,15.0,52.85087719298246,12
22,16,15.0,52.77777777777778,12
23,16,15.0,52.85087719298246,12
23,16,15.0,52.85087719298246,12
22,16,15.0,52.77777777777778,12
23,16,15.0,52.77777777777778,12
23,16,15.0,52.77777777777778,12
22,16,15.0,52.92397660818714,12
22,16,15.0,52.92397660818714,12
0,0,15.0,0.0,12
22,16,15.0,52.99707602339181,12
23,16,15.0,52.99707602339181,12
23,16,15.0,52.99707602339181,12
23,16,15.0,52.85087719298246,12
23,16,15.0,52.85087719298246,12
23,16,15.0,52.85087719298246,12
24,16,15.0,52.85087719298246,12
23,16,15.0,52.92397660818714,12
23,16,15.0,52.92397660818714,12
23,16,15.0,52.92397660818714,12
24,16,15.0,52.92397660818714,12
0,0,15.0,0.0,12
0,0,15.0,0.0,12
22,16,15.0,52.92397660818714,12
22,16,15.0,52.92397660818714,12
23,16,15.0,52.92397660818714,12
23,16,15.0,52.92397660818714,12
