grid_x,grid_y,nb_trp_inside,s_nb_trp_inside,impact_trp_aller
34,9,0,0,0.0
35,9,0,0,0.0
0,10,0,0,0.0
1,10,0,0,0.0
2,10,0,0,0.0
3,10,0,0,0.0
4,10,0,0,0.0
5,10,1,38,0.0
6,10,1,81,0.0
7,10,0,0,0.0
8,10,0,0,0.0
9,10,0,0,0.0
10,10,1,6,0.0
11,10,1,70,0.0
12,10,0,0,0.0
13,10,1,37,0.0
14,10,1,18,0.0
15,10,1,15,0.0
16,10,0,0,0.0
17,10,0,0,0.0
18,10,0,0,0.0
19,10,0,0,0.0
20,10,1,204,0.0
21,10,2,75,0.0
22,10,1,1,0.0
23,10,0,0,0.0
24,10,1,4,0.0
25,10,1,3,0.0
26,10,1,4,0.0
12,1,1,9,0.0002991442
12,0,1,2,0.0000725735
5,0,1,3,0.0001464745
30,10,1,5,0.0
10,4,1,72,0.000075118
32,10,1,1,0.0
33,10,0,0,0.0
34,10,0,0,0.0
35,10,0,0,0.0
0,11,0,0,0.0
1,11,0,0,0.0
2,11,0,0,0.0
3,11,0,0,0.0
4,11,0,0,0.0
5,11,1,137,0.0
6,11,0,0,0.0
7,11,0,0,0.0
8,11,0,0,0.0
9,11,1,10,0.0
10,11,2,59,0.0
11,11,1,13,0.0
12,11,1,4,0.0
13,11,1,7,0.0
14,11,1,1,0.0
15,11,1,17,0.0
16,11,0,0,0.0
17,11,0,0,0.0
18,11,0,0,0.0
19,11,2,193,0.0
20,11,2,24,0.0
21,11,0,0,0.0
22,11,0,0,0.0
23,11,1,1,0.0
24,11,1,4,0.0
25,11,0,0,0.0
26,11,1,6,0.0
27,11,1,2,0.0
22,2,1,3,0.0001405004
28,11,1,50,0.0001495721
11,1,2,5,0.0001350796
15,3,2,53,0.0001401685
32,11,0,0,0.0
33,11,0,0,0.0
34,11,0,0,0.0
35,11,0,0,0.0
0,12,0,0,0.0
1,12,0,0,0.0
2,12,0,0,0.0
3,12,0,0,0.0
4,12,0,0,0.0
5,12,1,89,0.0
6,12,1,133,0.0
7,12,1,40,0.0
8,12,1,34,0.0
9,12,1,16,0.0
10,12,1,42,0.0
11,12,0,0,0.0
12,12,1,6,0.0
13,12,1,3,0.0
14,12,1,13,0.0
15,12,1,7,0.0
16,12,0,0,0.0
17,12,0,0,0.0
18,12,2,147,0.0
19,12,2,50,0.0
20,12,0,0,0.0
21,12,0,0,0.0
22,12,0,0,0.0
23,12,1,7,0.0
24,12,1,1,0.0
25,12,1,6,0.0
26,12,1,4,0.0
27,12,1,16,0.0
26,4,2,7,0.0002282302
17,3,1,2,0.0002232519
30,12,1,10,0.0
31,12,1,7,0.0
32,12,1,1,0.0
33,12,0,0,0.0
34,12,0,0,0.0
35,12,0,0,0.0
0,13,0,0,0.0
1,13,0,0,0.0
2,13,0,0,0.0
3,13,0,0,0.0
4,13,0,0,0.0
5,13,0,0,0.0
6,13,1,25,0.0
7,13,2,181,0.0
8,13,0,0,0.0
9,13,0,0,0.0
10,13,1,46,0.0
11,13,0,0,0.0
12,13,1,7,0.0
13,13,1,3,0.0
14,13,1,3,0.0
15,13,2,16,0.0
16,13,0,0,0.0
17,13,2,58,0.0
18,13,2,165,0.0
19,13,0,0,0.0
20,13,0,0,0.0
21,13,0,0,0.0
22,13,0,0,0.0
23,13,1,4,0.0
24,13,1,4,0.0
25,13,0,0,0.0
26,13,2,7,0.0
27,13,1,5,0.0
28,13,1,1,0.0
29,13,1,133,0.0
30,13,1,27,0.0
31,13,1,2,0.0
32,13,0,0,0.0
33,13,0,0,0.0
34,13,0,0,0.0
35,13,0,0,0.0
0,14,0,0,0.0
1,14,0,0,0.0
2,14,0,0,0.0
3,14,0,0,0.0
4,14,0,0,0.0
5,14,0,0,0.0
6,14,0,0,0.0
7,14,1,57,0.0
8,14,2,127,0.0
9,14,1,11,0.0
10,14,1,35,0.0
11,14,0,0,0.0
12,14,1,16,0.0
13,14,1,1,0.0
14,14,0,0,0.0
15,14,2,18,0.0
16,14,0,0,0.0
17,14,0,0,0.0
18,14,2,175,0.0
19,14,2,72,0.0
20,14,0,0,0.0
21,14,0,0,0.0
22,14,0,0,0.0
23,14,1,9,0.0
24,14,1,4,0.0
25,14,0,0,0.0
26,14,1,21,0.0
27,14,1,5,0.0
28,14,1,28,0.0
29,14,1,102,0.0
30,14,1,93,0.0
31,14,0,0,0.0
32,14,0,0,0.0
33,14,0,0,0.0
34,14,0,0,0.0
35,14,0,0,0.0
0,15,0,0,0.0
1,15,0,0,0.0
2,15,0,0,0.0
3,15,0,0,0.0
4,15,0,0,0.0
5,15,0,0,0.0
6,15,0,0,0.0
7,15,1,37,0.0
8,15,2,139,0.0
9,15,1,58,0.0
10,15,1,22,0.0
11,15,1,17,0.0
12,15,1,5,0.0
13,15,0,0,0.0
14,15,0,0,0.0
15,15,2,17,0.0
16,15,0,0,0.0
17,15,1,25,0.0
18,15,2,142,0.0
19,15,0,0,0.0
20,15,0,0,0.0
21,15,0,0,0.0
22,15,0,0,0.0
23,15,1,9,0.0
24,15,0,0,0.0
25,15,0,0,0.0
26,15,1,18,0.0
27,15,0,0,0.0
28,15,1,37,0.0
29,15,1,5,0.0
30,15,1,56,0.0
31,15,1,56,0.0
32,15,0,0,0.0
33,15,0,0,0.0
34,15,0,0,0.0
35,15,0,0,0.0
0,16,0,0,0.0
1,16,0,0,0.0
2,16,0,0,0.0
3,16,0,0,0.0
4,16,0,0,0.0
5,16,1,26,0.0
6,16,1,25,0.0
7,16,1,6,0.0
8,16,2,56,0.0
9,16,1,130,0.0
10,16,1,44,0.0
11,16,0,0,0.0
12,16,0,0,0.0
13,16,0,0,0.0
14,16,0,0,0.0
15,16,2,15,0.0
16,16,0,0,0.0
17,16,2,78,0.0
18,16,1,53,0.0
19,16,0,0,0.0
20,16,0,0,0.0
21,16,0,0,0.0
22,16,0,0,0.0
23,16,1,9,0.0
24,16,0,0,0.0
25,16,1,2,0.0
26,16,1,30,0.0
27,16,1,39,0.0
28,16,1,33,0.0
29,16,0,0,0.0
30,16,0,0,0.0
31,16,1,97,0.0
32,16,1,18,0.0
33,16,0,0,0.0
34,16,0,0,0.0
35,16,0,0,0.0
0,17,0,0,0.0
1,17,0,0,0.0
2,17,0,0,0.0
3,17,0,0,0.0
4,17,0,0,0.0
5,17,1,25,0.0
6,17,0,0,0.0
7,17,0,0,0.0
8,17,1,83,0.0
9,17,1,180,0.0
10,17,2,73,0.0
11,17,0,0,0.0
12,17,0,0,0.0
13,17,0,0,0.0
14,17,0,0,0.0
15,17,2,15,0.0
16,17,0,0,0.0
17,17,1,124,0.0
18,17,1,13,0.0
19,17,0,0,0.0
20,17,0,0,0.0
21,17,0,0,0.0
22,17,1,2,0.0
23,17,1,10,0.0
24,17,1,56,0.0
25,17,1,75,0.0
26,17,1,26,0.0
27,17,0,0,0.0
28,17,0,0,0.0
29,17,0,0,0.0
30,17,0,0,0.0
31,17,1,40,0.0
32,17,1,94,0.0
33,17,0,0,0.0
34,17,0,0,0.0
35,17,0,0,0.0
0,18,0,0,0.0
1,18,0,0,0.0
2,18,0,0,0.0
3,18,0,0,0.0
4,18,0,0,0.0
5,18,1,26,0.0
6,18,1,1,0.0
7,18,1,16,0.0
8,18,1,54,0.0
9,18,0,0,0.0
10,18,1,155,0.0
11,18,0,0,0.0
12,18,0,0,0.0
13,18,0,0,0.0
14,18,2,5,0.0
15,18,2,13,0.0
16,18,1,10,0.0
17,18,2,197,0.0
18,18,0,0,0.0
19,18,0,0,0.0
20,18,1,9,0.0
21,18,1,38,0.0
22,18,1,40,0.0
23,18,1,82,0.0
24,18,1,5,0.0
25,18,0,0,0.0
26,18,0,0,0.0
27,18,0,0,0.0
28,18,1,4,0.0
29,18,1,44,0.0
30,18,1,80,0.0
31,18,1,27,0.0
32,18,0,0,0.0
33,18,0,0,0.0
34,18,0,0,0.0
35,18,0,0,0.0
0,19,0,0,0.0
1,19,0,0,0.0
2,19,0,0,0.0
3,19,0,0,0.0
4,19,0,0,0.0
5,19,1,40,0.0
6,19,1,30,0.0
7,19,1,79,0.0
8,19,0,0,0.0
9,19,2,20,0.0
10,19,1,88,0.0
11,19,0,0,0.0
12,19,0,0,0.0
13,19,0,0,0.0
14,19,1,34,0.0
15,19,1,13,0.0
16,19,1,22,0.0
17,19,1,119,0.0
18,19,0,0,0.0
19,19,1,18,0.0
20,19,1,29,0.0
21,19,1,20,0.0
22,19,1,36,0.0
23,19,0,0,0.0
24,19,0,0,0.0
25,19,0,0,0.0
26,19,0,0,0.0
27,19,1,35,0.0
28,19,1,71,0.0
29,19,1,30,0.0
30,19,0,0,0.0
31,19,0,0,0.0
32,19,0,0,0.0
33,19,0,0,0.0
34,19,0,0,0.0
35,19,0,0,0.0
0,20,0,0,0.0
1,20,0,0,0.0
2,20,0,0,0.0
3,20,1,13,0.0
4,20,1,28,0.0
5,20,1,8,0.0
6,20,1,9,0.0
7,20,1,75,0.0
8,20,0,0,0.0
9,20,1,132,0.0
10,20,0,0,0.0
11,20,0,0,0.0
12,20,0,0,0.0
13,20,0,0,0.0
14,20,1,27,0.0
15,20,1,1,0.0
16,20,0,0,0.0
17,20,2,175,0.0
18,20,1,23,0.0
19,20,1,9,0.0
20,20,1,29,0.0
21,20,1,28,0.0
22,20,0,0,0.0
23,20,0,0,0.0
24,20,0,0,0.0
25,20,1,19,0.0
26,20,1,93,0.0
27,20,1,44,0.0
28,20,1,2,0.0
29,20,0,0,0.0
30,20,0,0,0.0
31,20,0,0,0.0
32,20,0,0,0.0
33,20,0,0,0.0
34,20,0,0,0.0
35,20,0,0,0.0
0,21,0,0,0.0
1,21,0,0,0.0
2,21,0,0,0.0
3,21,1,25,0.0
4,21,0,0,0.0
5,21,0,0,0.0
6,21,1,2,0.0
7,21,1,65,0.0
8,21,1,5,0.0
9,21,1,71,0.0
10,21,1,61,0.0
11,21,0,0,0.0
12,21,0,0,0.0
13,21,0,0,0.0
14,21,1,4,0.0
15,21,1,40,0.0
16,21,0,0,0.0
17,21,2,164,0.0
18,21,0,0,0.0
19,21,0,0,0.0
20,21,1,63,0.0
21,21,0,0,0.0
22,21,1,3,0.0
23,21,1,33,0.0
24,21,1,73,0.0
25,21,1,51,0.0
26,21,0,0,0.0
27,21,0,0,0.0
28,21,0,0,0.0
29,21,0,0,0.0
30,21,0,0,0.0
31,21,0,0,0.0
32,21,0,0,0.0
33,21,0,0,0.0
34,21,0,0,0.0
35,21,0,0,0.0
0,22,0,0,0.0
1,22,0,0,0.0
2,22,0,0,0.0
3,22,1,28,0.0
4,22,0,0,0.0
5,22,1,9,0.0
6,22,1,6,0.0
7,22,1,41,0.0
8,22,1,22,0.0
9,22,1,35,0.0
10,22,1,50,0.0
11,22,1,55,0.0
12,22,0,0,0.0
13,22,0,0,0.0
14,22,1,13,0.0
15,22,2,12,0.0
16,22,2,129,0.0
17,22,2,101,0.0
18,22,0,0,0.0
19,22,1,56,0.0
20,22,0,0,0.0
21,22,0,0,0.0
22,22,1,55,0.0
23,22,1,40,0.0
24,22,1,6,0.0
25,22,0,0,0.0
26,22,0,0,0.0
27,22,0,0,0.0
28,22,0,0,0.0
29,22,0,0,0.0
30,22,0,0,0.0
31,22,0,0,0.0
32,22,0,0,0.0
33,22,0,0,0.0
34,22,0,0,0.0
35,22,0,0,0.0
0,23,0,0,0.0
1,23,0,0,0.0
2,23,0,0,0.0
3,23,1,29,0.0
4,23,1,9,0.0
5,23,1,3,0.0
6,23,0,0,0.0
7,23,1,7,0.0
8,23,2,66,0.0
9,23,1,59,0.0
10,23,1,78,0.0
11,23,0,0,0.0
12,23,0,0,0.0
13,23,1,16,0.0
14,23,1,4,0.0
15,23,0,0,0.0
16,23,2,130,0.0
17,23,2,164,0.0
18,23,1,223,0.0
19,23,1,8,0.0
20,23,1,13,0.0
21,23,1,82,0.0
22,23,1,34,0.0
23,23,1,4,0.0
24,23,0,0,0.0
25,23,0,0,0.0
26,23,0,0,0.0
27,23,0,0,0.0
28,23,0,0,0.0
29,23,0,0,0.0
30,23,0,0,0.0
31,23,0,0,0.0
32,23,0,0,0.0
33,23,0,0,0.0
34,23,0,0,0.0
35,23,0,0,0.0
0,24,0,0,0.0
1,24,0,0,0.0
2,24,0,0,0.0
3,24,1,38,0.0
4,24,0,0,0.0
5,24,0,0,0.0
6,24,0,0,0.0
7,24,1,5,0.0
8,24,1,41,0.0
9,24,1,81,0.0
10,24,1,133,0.0
11,24,0,0,0.0
12,24,0,0,0.0
13,24,1,12,0.0
14,24,0,0,0.0
15,24,0,0,0.0
16,24,0,0,0.0
17,24,1,34,0.0
18,24,1,425,0.0
19,24,1,65,0.0
20,24,1,57,0.0
21,24,1,3,0.0
22,24,0,0,0.0
23,24,1,3,0.0
24,24,1,4,0.0
25,24,0,0,0.0
26,24,0,0,0.0
27,24,0,0,0.0
28,24,0,0,0.0
29,24,0,0,0.0
30,24,0,0,0.0
31,24,0,0,0.0
32,24,0,0,0.0
33,24,0,0,0.0
34,24,0,0,0.0
35,24,0,0,0.0
0,25,0,0,0.0
1,25,0,0,0.0
2,25,0,0,0.0
3,25,1,34,0.0
4,25,0,0,0.0
5,25,0,0,0.0
6,25,0,0,0.0
7,25,1,2,0.0
8,25,1,105,0.0
9,25,1,147,0.0
10,25,1,26,0.0
11,25,0,0,0.0
12,25,1,5,0.0
13,25,1,19,0.0
14,25,0,0,0.0
15,25,0,0,0.0
16,25,1,195,0.0
17,25,1,293,0.0
18,25,1,2,0.0
