nb_cycle_aller,moy_cycle_aller,d_res_soc,jour_res_soc,nbr_elmt_res_soc,propor_utilisa_aller
47,28,75.0,2,5,77.19298245614034
47,28,75.0,2,5,77.19298245614034
49,30,75.0,6,5,77.19298245614034
48,29,75.0,4,5,77.19298245614034
47,28,75.0,2,5,77.19298245614034
48,29,75.0,4,5,77.19298245614034
48,29,75.0,4,5,77.19298245614034
48,29,75.0,4,5,77.19298245614034
48,29,75.0,4,5,77.19298245614034
48,29,75.0,4,5,77.19298245614034
48,29,75.0,4,5,77.19298245614034
48,29,75.0,4,5,77.19298245614034
48,29,75.0,4,5,77.19298245614034
48,29,75.0,4,5,77.19298245614034
48,29,75.0,4,5,77.19298245614034
48,29,75.0,4,5,77.19298245614034
48,29,75.0,4,5,77.19298245614034
49,28,75.0,2,5,78.0701754385965
51,29,75.0,4,5,78.0701754385965
49,28,75.0,2,5,78.0701754385965
51,29,75.0,4,5,78.0701754385965
51,29,75.0,4,5,78.0701754385965
51,29,75.0,4,5,78.0701754385965
51,29,75.0,4,5,78.0701754385965
51,29,75.0,4,5,78.0701754385965
55,30,75.0,4,5,77.48538011695906
55,30,75.0,4,5,77.48538011695906
55,30,75.0,4,5,77.48538011695906
55,30,75.0,4,5,77.48538011695906
55,30,75.0,4,5,77.48538011695906
55,30,75.0,4,5,77.48538011695906
55,30,75.0,4,5,77.48538011695906
55,29,75.0,2,5,77.48538011695906
55,29,75.0,2,5,77.48538011695906
55,29,75.0,2,5,77.48538011695906
55,29,75.0,2,5,77.48538011695906
55,29,75.0,2,5,77.48538011695906
55,29,75.0,2,5,77.48538011695906
55,29,75.0,2,5,77.48538011695906
55,29,75.0,2,5,77.48538011695906
55,29,75.0,2,5,77.48538011695906
60,29,75.0,2,5,75.87719298245614
60,29,75.0,2,5,75.87719298245614
60,29,75.0,2,5,75.87719298245614
60,29,75.0,2,5,75.87719298245614
62,29,75.0,4,5,75.87719298245614
62,29,75.0,4,5,75.87719298245614
62,29,75.0,4,5,75.87719298245614
62,29,75.0,4,5,75.87719298245614
63,30,75.0,6,5,75.87719298245614
56,31,75.0,6,5,77.48538011695906
56,31,75.0,6,5,77.48538011695906
56,31,75.0,6,5,77.48538011695906
56,31,75.0,6,5,77.48538011695906
56,31,75.0,6,5,77.48538011695906
56,31,75.0,6,5,77.48538011695906
56,31,75.0,6,5,77.48538011695906
56,31,75.0,6,5,77.48538011695906
56,31,75.0,6,5,77.48538011695906
54,28,92.0,2,5,76.97368421052632
54,28,92.0,2,5,76.97368421052632
54,28,92.0,2,5,76.97368421052632
54,28,92.0,2,5,76.97368421052632
54,28,92.0,2,5,76.97368421052632
54,28,92.0,2,5,76.97368421052632
54,28,92.0,2,5,76.97368421052632
54,28,92.0,2,5,76.97368421052632
54,28,92.0,2,5,76.97368421052632
54,28,92.0,2,5,76.97368421052632
55,29,92.0,2,5,78.28947368421053
55,29,92.0,2,5,78.28947368421053
55,29,92.0,2,5,78.28947368421053
55,29,92.0,2,5,78.28947368421053
55,29,92.0,2,5,78.28947368421053
55,29,92.0,2,5,78.28947368421053
55,29,92.0,2,5,78.28947368421053
55,29,92.0,2,5,78.28947368421053
55,29,92.0,2,5,78.28947368421053
55,29,92.0,2,5,78.28947368421053
55,29,92.0,2,5,78.28947368421053
53,30,92.0,4,5,79.53216374269006
53,30,92.0,4,5,79.53216374269006
58,29,92.0,4,5,78.14327485380117
58,29,92.0,4,5,78.14327485380117
55,30,92.0,4,5,78.28947368421053
58,29,92.0,4,5,78.14327485380117
58,29,92.0,4,5,78.14327485380117
58,29,92.0,4,5,78.14327485380117
54,29,92.0,4,5,76.97368421052632
54,29,92.0,4,5,76.97368421052632
54,30,92.0,6,5,76.97368421052632
58,30,92.0,6,5,78.14327485380117
54,30,92.0,6,5,76.97368421052632
58,30,92.0,6,5,78.14327485380117
58,30,92.0,6,5,78.14327485380117
54,30,92.0,6,5,76.97368421052632
58,30,92.0,6,5,78.14327485380117
54,31,92.0,6,5,79.53216374269006
54,30,92.0,6,5,76.97368421052632
54,30,92.0,6,5,76.97368421052632
54,31,92.0,6,5,79.53216374269006
54,31,92.0,6,5,79.53216374269006
54,30,92.0,6,5,76.97368421052632
54,31,92.0,6,5,79.53216374269006
54,30,92.0,6,5,76.97368421052632
54,30,92.0,6,5,76.97368421052632
