nb_cycle_aller,moy_cycle_aller,dist_veto,propor_utilisa_aller,jour_marche
26,17,1.0,52.63157894736842,4
26,17,1.0,52.63157894736842,4
26,18,1.0,53.143274853801174,4
26,18,1.0,53.143274853801174,4
25,18,1.0,0.0,4
25,18,1.0,51.31578947368421,4
25,18,1.0,0.0,4
25,18,1.0,0.0,4
27,18,1.0,52.63157894736842,4
27,18,1.0,52.63157894736842,4
27,18,1.0,52.77777777777778,4
27,18,1.0,52.63157894736842,4
27,18,1.0,52.63157894736842,4
27,18,1.0,52.77777777777778,4
27,18,1.0,52.77777777777778,4
27,18,1.0,52.63157894736842,4
27,18,1.0,52.63157894736842,4
27,18,1.0,52.63157894736842,4
27,18,1.0,52.63157894736842,4
27,18,1.0,52.63157894736842,4
27,18,1.0,52.63157894736842,4
27,18,1.0,52.63157894736842,4
27,18,1.0,52.63157894736842,4
25,18,1.0,52.7046783625731,4
25,18,1.0,52.7046783625731,4
25,18,1.0,52.7046783625731,4
25,18,1.0,52.7046783625731,4
25,18,1.0,52.7046783625731,4
25,18,1.0,52.7046783625731,4
26,18,1.0,51.75438596491229,4
27,18,1.0,51.09649122807017,4
27,18,1.0,51.09649122807017,4
26,18,1.0,50.73099415204678,4
27,18,1.0,51.09649122807017,4
27,18,1.0,51.09649122807017,4
26,18,1.0,50.73099415204678,4
26,18,1.0,50.73099415204678,4
26,18,1.0,50.73099415204678,4
25,18,1.0,50.877192982456144,4
25,18,1.0,50.877192982456144,4
25,18,1.0,50.877192982456144,4
25,18,1.0,50.877192982456144,4
25,18,1.0,50.877192982456144,4
25,18,1.0,50.877192982456144,4
25,18,1.0,50.877192982456144,4
25,18,1.0,50.877192982456144,4
25,18,1.0,50.877192982456144,4
25,18,1.0,50.877192982456144,4
25,18,1.0,50.877192982456144,4
26,18,1.0,53.43567251461988,4
26,18,1.0,53.43567251461988,4
25,18,1.0,50.58479532163743,4
25,18,1.0,52.63157894736842,4
25,18,1.0,50.58479532163743,4
25,17,1.0,51.900584795321635,4
25,17,1.0,51.900584795321635,4
